ID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,Condition,atc_passed,order,ident
119,foods,paycheck,girls,coastline,summer,achievements,assets,relationships,daughters,legacy,songs,weekend,sanctuary,friendships,victories,accomplishments,miracles,husband,skies,winners,bonuses,angels,trees,sons,successes,diseases,foreclosures,debt,homicides,suicides,deficiency,bankruptcy,confrontation,fugitives,assassinations,killers,fees,monsters,headstone,funeral,nightmare,rapists,attackers,difficulty,genocide,crimes,prisons,failures,argument,deaths,proposals,sites,assessments,counterparts,region,proportions,instructions,delegation,particles,predecessors,payment,unit,bathroom,spine,exceptions,dimensions,affiliation,referral,pantry,concessions,pillars,departments,door,location,towns,minute,day,month,decade,millenium,foot,mile,kilometer,pound,kilogram,tablespoon,cup,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,few,several,big,long,narrow,REPUBLICAN,True,1,Independent
120,foods,paychecks,girls,coastlines,summers,achievements,assets,relationships,daughters,legacies,songs,weekends,sanctuaries,friendships,victories,accomplishments,miracles,husbands,skies,winners,bonuses,angels,trees,sons,successes,diseases,foreclosures,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitives,assassinations,killers,fees,monsters,headstones,funerals,nightmares,rapists,attackers,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposals,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,day,month,year,century,foot,mile,kilometer,pound,gram,tablespoon,liter,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,some,many,big,long,wide,DEMOCRAT,True,1,Independent
116,food,paychecks,girl,coastline,summer,achievement,assets,relationships,daughters,legacies,song,weekend,sanctuaries,friendship,victory,accomplishment,miracle,husbands,skies,winner,bonus,angels,tree,sons,successes,diseases,foreclosures,debt,homicides,suicides,deficiency,bankruptcies,confrontations,fugitive,assassination,killer,fee,monsters,headstone,funeral,nightmare,rapists,attackers,difficulty,genocides,crimes,prison,failures,arguments,death,proposal,site,assessment,counterparts,regions,proportions,instructions,delegations,particle,predecessors,payment,unit,bathrooms,spines,exception,dimension,affiliation,referral,pantry,concession,pillar,department,doors,locations,town,second,day,month,decade,millenium,foot,yard,kilometer,pound,kilogram,teaspoon,cup,gallon,horsepower,kilobyte,gigabyte,hertz,cent,one,hundred,some,several,small,long,narrow,DEMOCRAT,True,2,Independent
118,food,paycheck,girls,coastline,summer,achievements,asset,relationship,daughter,legacy,song,weekend,sanctuary,friendship,victory,accomplishment,miracle,husbands,sky,winner,bonus,angel,trees,sons,success,diseases,foreclosure,debts,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitives,assassinations,killers,fees,monsters,headstone,funerals,nightmare,rapists,attackers,difficulties,genocides,crimes,prisons,failures,arguments,deaths,proposal,sites,assessment,counterparts,regions,proportions,instructions,delegations,particle,predecessors,payments,units,bathroom,spines,exceptions,dimensions,affiliation,referrals,pantry,concession,pillars,departments,doors,locations,towns,minute,day,month,decade,century,inch,yard,centimeter,pound,kilogram,teaspoon,liter,gallon,horsepower,kilobyte,megabyte,gigahertz,cent,one,hundred,few,several,small,long,wide,REPUBLICAN,True,3,Democrat
122,food,paychecks,girls,coastlines,summer,achievement,asset,relationship,daughter,legacies,songs,weekends,sanctuary,friendship,victory,accomplishment,miracle,husbands,skies,winners,bonuses,angels,tree,son,success,diseases,foreclosure,debts,homicides,suicides,deficiency,bankruptcies,confrontation,fugitives,assassination,killers,fee,monster,headstone,funeral,nightmares,rapists,attackers,difficulties,genocides,crimes,prison,failures,arguments,death,proposals,site,assessment,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,units,bathrooms,spines,exception,dimensions,affiliations,referrals,pantries,concession,pillars,departments,doors,locations,town,minute,hour,week,decade,century,foot,mile,kilometer,pound,kilogram,teaspoon,cup,gallon,horsepower,kilobyte,gigabyte,hertz,dollar,ten,thousand,some,many,big,short,narrow,DEMOCRAT,False,4,Independent
123,food,paychecks,girls,coastline,summer,achievement,assets,relationship,daughter,legacy,song,weekend,sanctuary,friendship,victories,accomplishment,miracles,husband,sky,winners,bonuses,angel,trees,son,success,disease,foreclosure,debts,homicides,suicide,deficiencies,bankruptcies,confrontation,fugitives,assassinations,killer,fees,monster,headstone,funerals,nightmare,rapist,attacker,difficulties,genocide,crimes,prison,failures,argument,deaths,proposals,site,assessment,counterparts,regions,proportion,instruction,delegation,particle,predecessor,payment,units,bathroom,spines,exception,dimension,affiliations,referral,pantry,concession,pillar,department,door,location,towns,minute,day,week,decade,century,inch,yard,kilometer,pound,kilogram,teaspoon,cup,gallon,horsepower,byte,gigabyte,hertz,dollar,one,hundred,some,many,small,short,wide,REPUBLICAN,False,1,Independent
131,food,paycheck,girls,coastlines,summer,achievements,assets,relationship,daughter,legacy,song,weekends,sanctuary,friendship,victory,accomplishments,miracle,husband,skies,winner,bonus,angel,tree,sons,successes,diseases,foreclosure,debt,homicide,suicides,deficiencies,bankruptcies,confrontation,fugitives,assassination,killer,fees,monsters,headstone,funeral,nightmare,rapist,attackers,difficulty,genocides,crime,prisons,failure,arguments,death,proposal,sites,assessments,counterpart,region,proportion,instructions,delegations,particle,predecessor,payments,unit,bathrooms,spine,exceptions,dimension,affiliation,referrals,pantries,concessions,pillar,departments,door,location,town,second,hour,month,year,millenium,foot,yard,kilometer,pound,gram,tablespoon,cup,gallon,horsepower,kilobyte,gigabyte,gigahertz,dollar,one,hundred,few,many,small,long,wide,REPUBLICAN,True,1,Independent
126,foods,paycheck,girls,coastline,summers,achievements,assets,relationships,daughters,legacies,songs,weekends,sanctuary,friendships,victories,accomplishments,miracles,husband,sky,winners,bonuses,angels,tree,sons,successes,diseases,foreclosures,debts,homicides,suicide,deficiencies,bankruptcies,confrontations,fugitive,assassinations,killer,fees,monster,headstones,funerals,nightmare,rapist,attackers,difficulties,genocide,crime,prisons,failures,argument,deaths,proposal,sites,assessments,counterparts,regions,proportions,instructions,delegations,particles,predecessors,payments,unit,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concession,pillars,departments,doors,locations,towns,second,hour,week,decade,century,inch,mile,centimeter,pound,gram,tablespoon,cup,gallon,watt,kilobyte,megabyte,gigahertz,dollar,one,hundred,few,several,big,long,narrow,REPUBLICAN,True,1,Democrat
128,foods,paychecks,girls,coastline,summer,achievements,asset,relationships,daughters,legacy,song,weekend,sanctuaries,friendship,victories,accomplishment,miracles,husband,sky,winners,bonus,angel,trees,sons,successes,diseases,foreclosures,debt,homicides,suicides,deficiencies,bankruptcies,confrontations,fugitive,assassinations,killers,fee,monster,headstones,funerals,nightmare,rapists,attacker,difficulties,genocides,crimes,prisons,failures,argument,deaths,proposals,sites,assessments,counterpart,region,proportions,instructions,delegations,particle,predecessors,payment,units,bathrooms,spines,exceptions,dimensions,affiliations,referrals,pantries,concessions,pillars,departments,doors,locations,towns,minute,hour,month,decade,millenium,foot,yard,centimeter,pound,kilogram,teaspoon,liter,quart,horsepower,kilobyte,gigabyte,gigahertz,dollar,ten,thousand,few,several,big,long,wide,DEMOCRAT,True,3,Democrat
130,food,paychecks,girls,coastlines,summer,achievements,asset,relationship,daughter,legacies,song,weekend,sanctuary,friendship,victories,accomplishment,miracle,husband,skies,winner,bonuses,angel,tree,sons,success,diseases,foreclosures,debt,homicides,suicide,deficiencies,bankruptcies,confrontations,fugitive,assassinations,killers,fees,monsters,headstones,funerals,nightmare,rapists,attackers,difficulty,genocides,crimes,prisons,failure,arguments,deaths,proposal,site,assessment,counterparts,regions,proportions,instructions,delegations,particle,predecessor,payments,unit,bathroom,spines,exceptions,dimension,affiliation,referral,pantries,concession,pillar,departments,doors,locations,town,second,hour,week,year,century,foot,mile,kilometer,pound,gram,teaspoon,cup,gallon,horsepower,byte,gigabyte,hertz,dollar,ten,thousand,some,many,big,short,narrow,REPUBLICAN,True,3,Democrat
