,1,2,3,4,5,6,7,8,9,10,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
70,3,5,3,3,4.0,5,5,3,4,2.0,joy,inferior,scarce,unqualified,laugh,famous,stupid,praise,sweet,inaccurate,48.0,Female,Democrat,Bachelor's degree,7.0,5.0,True
71,1,4,5,1,3.0,2,4,1,3,4.0,sorrow,inferior,plentiful,unqualified,laugh,famous,clever,blame,sweet,inaccurate,36.0,Male,Democrat,High school,6.0,6.0,True
72,3,4,2,3,3.0,4,5,2,3,5.0,joy,superior,scarce,unqualified,laugh,unknown,stupid,praise,sweet,accurate,45.0,Male,Democrat,Some college (no degree),5.0,4.0,True
73,3,5,4,3,4.0,3,4,5,4,4.0,sorrow,inferior,plentiful,qualified,cry,unknown,stupid,praise,bitter,inaccurate,28.0,Female,Democrat,Master's degree,4.0,4.0,True
74,2,5,5,2,5.0,5,5,3,3,3.0,sorrow,inferior,plentiful,qualified,laugh,famous,clever,blame,sweet,accurate,51.0,Female,Democrat,High school,2.0,4.0,True
75,3,3,4,5,4.0,3,4,2,5,3.0,joy,superior,scarce,unqualified,laugh,famous,clever,blame,sweet,accurate,29.0,Female,Republican,Associate's/professional/vocational degree,6.0,2.0,True
76,2,5,4,1,2.0,4,6,1,3,3.0,sorrow,superior,scarce,qualified,laugh,unknown,stupid,praise,sweet,inaccurate,42.0,Female,Democrat,Bachelor's degree,6.0,5.0,True
77,1,5,5,2,1.0,5,2,2,1,5.0,joy,inferior,plentiful,unqualified,cry,famous,clever,blame,bitter,accurate,58.0,Male,Republican,Some college (no degree),4.0,6.0,False
78,2,4,2,5,2.0,2,2,5,2,4.0,joy,superior,scarce,unqualified,cry,unknown,stupid,praise,bitter,inaccurate,50.0,Female,Republican,Bachelor's degree,6.0,6.0,True
79,2,4,5,3,3.0,4,6,5,3,5.0,sorrow,superior,scarce,qualified,laugh,unknown,stupid,praise,sweet,inaccurate,38.0,Female,Democrat,Bachelor's degree,7.0,4.0,False
80,4,5,6,5,2.0,4,4,3,5,2.0,joy,inferior,plentiful,unqualified,cry,famous,clever,blame,bitter,accurate,68.0,Female,Democrat,Associate's/professional/vocational degree,3.0,5.0,True
81,3,5,3,3,5.0,4,3,3,4,3.0,sorrow,inferior,scarce,qualified,cry,unknown,clever,praise,bitter,inaccurate,23.0,Male,Democrat,Some college (no degree),6.0,5.0,False
82,3,4,3,4,3.0,4,4,4,3,3.0,joy,superior,plentiful,unqualified,laugh,famous,stupid,blame,sweet,accurate,35.0,Female,Democrat,Master's degree,2.0,4.0,False
83,5,5,5,3,5.0,5,5,3,3,3.0,sorrow,inferior,scarce,qualified,laugh,unknown,stupid,blame,sweet,accurate,39.0,Male,Democrat,Some college (no degree),3.0,3.0,True
84,1,5,1,5,5.0,5,1,1,5,2.0,joy,superior,plentiful,unqualified,cry,famous,clever,praise,bitter,inaccurate,61.0,Female,Democrat,Some college (no degree),2.0,3.0,True
85,5,2,3,3,3.0,2,6,4,5,1.0,joy,inferior,scarce,unqualified,laugh,famous,clever,blame,bitter,inaccurate,63.0,Male,Republican,High school,6.0,5.0,True
86,2,1,2,5,5.0,4,4,4,5,4.0,sorrow,inferior,scarce,qualified,laugh,famous,stupid,blame,bitter,inaccurate,33.0,Female,Republican,Bachelor's degree,5.0,1.0,True
87,4,2,5,3,3.0,3,5,5,5,5.0,joy,superior,plentiful,unqualified,cry,unknown,clever,praise,sweet,accurate,37.0,Male,Republican,Some college (no degree),6.0,5.0,True
88,3,3,4,3,3.0,4,4,4,4,4.0,sorrow,superior,plentiful,unqualified,laugh,famous,clever,praise,sweet,accurate,40.0,Female,Republican,Some college (no degree),3.0,1.0,True
89,5,3,5,5,1.0,5,1,4,2,3.0,joy,inferior,scarce,qualified,cry,unknown,stupid,blame,bitter,inaccurate,29.0,Female,Republican,Master's degree,5.0,1.0,True
90,3,4,4,4,3.0,4,4,4,3,3.0,sorrow,superior,plentiful,qualified,cry,unknown,stupid,praise,sweet,accurate,29.0,Female,Democrat,Some college (no degree),5.0,3.0,True
91,3,4,2,3,3.0,2,6,2,2,3.0,joy,superior,plentiful,unqualified,laugh,unknown,stupid,praise,sweet,inaccurate,43.0,Female,Democrat,Bachelor's degree,4.0,5.0,True
92,2,5,3,1,5.0,4,4,5,5,2.0,sorrow,inferior,scarce,unqualified,cry,famous,clever,blame,bitter,accurate,68.0,Male,Democrat,Some college (no degree),7.0,6.0,True
93,3,4,3,3,3.0,4,4,4,4,4.0,joy,inferior,scarce,qualified,cry,unknown,clever,blame,bitter,inaccurate,32.0,Male,Democrat,Master's degree,5.0,4.0,True
94,3,5,2,4,2.0,4,3,2,2,2.0,joy,superior,plentiful,unqualified,laugh,unknown,clever,blame,bitter,inaccurate,37.0,Male,Republican,Master's degree,6.0,6.0,False
95,4,2,5,2,2.0,6,5,4,6,2.0,sorrow,superior,plentiful,qualified,laugh,famous,stupid,praise,sweet,accurate,34.0,Male,Democrat,Bachelor's degree,6.0,5.0,True
96,3,4,4,3,4.0,3,5,4,4,2.0,sorrow,inferior,scarce,qualified,cry,famous,stupid,praise,sweet,accurate,36.0,Female,Democrat,Bachelor's degree,7.0,6.0,False
97,2,2,2,2,3.0,1,2,2,3,3.0,joy,inferior,scarce,unqualified,laugh,unknown,stupid,praise,sweet,accurate,36.0,Female,Democrat,Bachelor's degree,6.0,6.0,True
98,3,2,2,2,3.0,3,2,5,5,5.0,sorrow,superior,plentiful,qualified,cry,famous,clever,blame,bitter,inaccurate,49.0,Female,Democrat,Master's degree,5.0,5.0,True
99,3,3,2,2,3.0,4,2,5,5,2.0,joy,superior,plentiful,qualified,laugh,famous,clever,blame,bitter,accurate,53.0,Female,Democrat,Associate's/professional/vocational degree,3.0,2.0,False
100,3,6,3,3,3.0,3,6,3,3,6.0,sorrow,inferior,scarce,unqualified,cry,unknown,stupid,praise,sweet,inaccurate,36.0,Female,Democrat,Bachelor's degree,5.0,2.0,False
101,6,4,2,3,5.0,4,2,3,3,2.0,joy,superior,scarce,qualified,laugh,famous,stupid,blame,bitter,inaccurate,27.0,Male,Republican,Bachelor's degree,3.0,4.0,True
102,2,5,4,2,5.0,4,4,3,3,1.0,sorrow,inferior,plentiful,unqualified,cry,unknown,clever,praise,sweet,accurate,54.0,Male,Democrat,Associate's/professional/vocational degree,6.0,6.0,True
103,3,4,4,4,2.0,3,1,1,2,2.0,joy,superior,scarce,qualified,laugh,famous,stupid,blame,bitter,inaccurate,57.0,Female,Republican,Bachelor's degree,5.0,4.0,True
104,2,5,2,4,1.0,5,2,3,2,4.0,joy,inferior,plentiful,unqualified,laugh,unknown,clever,blame,sweet,accurate,43.0,Male,Republican,Bachelor's degree,7.0,2.0,True
105,5,1,6,1,5.0,2,6,6,6,2.0,sorrow,superior,scarce,qualified,cry,famous,stupid,praise,bitter,inaccurate,43.0,Female,Republican,Master's degree,3.0,3.0,True
106,2,3,5,4,3.0,5,4,2,4,2.0,sorrow,inferior,plentiful,qualified,cry,famous,clever,blame,sweet,inaccurate,41.0,Male,Republican,Higher-level graduate degree,5.0,5.0,True
107,2,5,5,4,2.0,4,4,4,5,2.0,joy,superior,scarce,unqualified,laugh,unknown,stupid,praise,bitter,accurate,33.0,Female,Democrat,Bachelor's degree,7.0,7.0,True
108,3,4,3,5,4.0,4,4,3,3,3.0,joy,superior,scarce,unqualified,laugh,unknown,stupid,praise,bitter,accurate,30.0,Female,Republican,Master's degree,4.0,3.0,True
109,5,5,5,5,5.0,4,6,2,4,2.0,sorrow,superior,plentiful,qualified,cry,unknown,stupid,praise,sweet,inaccurate,46.0,Male,Republican,Higher-level graduate degree,2.0,5.0,True
110,4,2,3,3,5.0,5,3,5,2,2.0,sorrow,inferior,plentiful,qualified,cry,famous,clever,blame,sweet,inaccurate,31.0,Female,Democrat,Associate's/professional/vocational degree,5.0,4.0,False
111,4,4,5,5,3.0,2,3,2,2,4.0,joy,inferior,scarce,unqualified,laugh,famous,clever,blame,bitter,accurate,40.0,Male,Republican,Bachelor's degree,5.0,3.0,False
112,5,5,4,2,5.0,3,4,5,5,2.0,sorrow,superior,plentiful,qualified,cry,unknown,clever,blame,sweet,accurate,24.0,Female,Democrat,Bachelor's degree,4.0,5.0,False
113,1,6,6,4,1.0,4,6,2,6,6.0,joy,inferior,scarce,unqualified,laugh,famous,stupid,praise,bitter,inaccurate,41.0,Male,Democrat,Higher-level graduate degree,7.0,5.0,True
114,3,4,3,3,4.0,4,3,3,4,3.0,sorrow,inferior,scarce,unqualified,laugh,famous,clever,praise,bitter,accurate,35.0,Male,Democrat,Bachelor's degree,6.0,4.0,True
115,2,6,4,5,1.0,3,2,1,4,1.0,sorrow,superior,plentiful,qualified,laugh,unknown,clever,blame,sweet,inaccurate,59.0,Female,Republican,Bachelor's degree,7.0,6.0,True
116,5,5,2,5,3.0,4,4,4,2,2.0,joy,superior,plentiful,qualified,cry,unknown,stupid,blame,sweet,inaccurate,38.0,Female,Republican,High school,4.0,3.0,True
117,2,5,4,3,4.0,4,5,3,5,2.0,joy,inferior,scarce,unqualified,cry,famous,stupid,praise,bitter,accurate,38.0,Female,Democrat,Higher-level graduate degree,7.0,6.0,True
118,2,6,2,5,6.0,5,6,2,5,5.0,joy,inferior,scarce,unqualified,laugh,famous,clever,praise,sweet,inaccurate,25.0,Female,Democrat,Bachelor's degree,4.0,4.0,True
119,2,5,4,3,5.0,4,6,3,3,2.0,sorrow,superior,plentiful,qualified,cry,unknown,stupid,blame,bitter,accurate,33.0,Female,Democrat,Bachelor's degree,6.0,5.0,True
120,4,6,3,6,6.0,5,2,3,6,2.0,sorrow,inferior,plentiful,unqualified,laugh,famous,clever,praise,bitter,accurate,60.0,Male,Democrat,Bachelor's degree,7.0,7.0,True
121,3,5,4,2,4.0,3,6,4,5,3.0,joy,superior,scarce,qualified,cry,unknown,stupid,blame,sweet,inaccurate,32.0,Male,Democrat,Bachelor's degree,7.0,6.0,True
122,3,3,5,3,5.0,3,5,3,2,6.0,joy,inferior,plentiful,qualified,cry,unknown,stupid,praise,bitter,accurate,25.0,Female,Republican,Some college (no degree),3.0,3.0,True
123,4,4,5,4,2.0,4,5,1,2,2.0,sorrow,superior,scarce,unqualified,laugh,famous,clever,blame,sweet,inaccurate,36.0,Female,Republican,Bachelor's degree,6.0,5.0,True
124,3,3,5,3,5.0,2,3,5,5,2.0,sorrow,inferior,plentiful,unqualified,cry,unknown,clever,praise,sweet,inaccurate,36.0,Female,Republican,Bachelor's degree,4.0,3.0,True
125,1,6,6,1,2.0,4,5,6,4,2.0,joy,superior,scarce,qualified,laugh,famous,stupid,blame,bitter,accurate,37.0,Female,Democrat,Associate's/professional/vocational degree,4.0,3.0,True
126,5,4,2,6,5.0,5,4,2,2,5.0,sorrow,inferior,plentiful,unqualified,laugh,unknown,clever,praise,sweet,inaccurate,45.0,Female,Democrat,Bachelor's degree,3.0,2.0,False
127,5,5,4,5,3.0,3,3,3,3,5.0,joy,superior,scarce,qualified,cry,famous,stupid,blame,bitter,accurate,26.0,Female,Republican,Bachelor's degree,4.0,2.0,False
128,5,2,5,2,5.0,5,5,2,5,5.0,joy,inferior,plentiful,unqualified,laugh,famous,clever,blame,sweet,accurate,52.0,Male,Republican,Higher-level graduate degree,5.0,3.0,True
129,3,4,4,1,2.0,1,5,1,3,2.0,sorrow,superior,scarce,qualified,cry,unknown,stupid,praise,bitter,inaccurate,34.0,Male,Republican,Master's degree,5.0,4.0,False
130,3,3,4,4,4.0,4,4,5,4,3.0,sorrow,superior,plentiful,unqualified,laugh,unknown,stupid,praise,sweet,inaccurate,25.0,Female,Democrat,Associate's/professional/vocational degree,3.0,3.0,False
131,3,4,6,4,4.0,4,3,6,4,4.0,joy,inferior,scarce,qualified,cry,famous,clever,blame,bitter,accurate,27.0,Male,Democrat,Bachelor's degree,3.0,3.0,False
132,3,5,3,2,4.0,4,5,4,5,3.0,sorrow,superior,plentiful,unqualified,laugh,unknown,stupid,blame,bitter,inaccurate,45.0,Female,Democrat,Bachelor's degree,3.0,4.0,True
133,2,5,2,5,5.0,5,3,3,3,2.0,joy,inferior,scarce,qualified,cry,famous,clever,praise,sweet,accurate,22.0,Male,Democrat,Bachelor's degree,6.0,4.0,True
134,4,6,6,2,3.0,6,6,2,3,6.0,sorrow,inferior,scarce,qualified,laugh,unknown,stupid,praise,sweet,inaccurate,47.0,Female,Democrat,Some college (no degree),6.0,3.0,True
135,5,2,2,4,4.0,3,5,3,2,2.0,sorrow,inferior,plentiful,qualified,laugh,famous,stupid,praise,sweet,inaccurate,28.0,Female,Democrat,Bachelor's degree,4.0,2.0,True
136,4,2,5,3,1.0,4,6,1,1,6.0,joy,superior,scarce,unqualified,cry,unknown,clever,blame,bitter,accurate,21.0,Male,Republican,Some college (no degree),5.0,5.0,True
137,2,2,5,2,5.0,2,3,2,5,2.0,joy,superior,scarce,qualified,cry,famous,clever,praise,bitter,accurate,39.0,Male,Republican,Master's degree,4.0,5.0,False
138,1,3,4,3,5.0,2,2,2,2,5.0,sorrow,inferior,plentiful,unqualified,laugh,unknown,stupid,blame,sweet,inaccurate,26.0,Female,Republican,Bachelor's degree,6.0,6.0,True
139,1,3,4,1,4.0,5,3,5,1,1.0,joy,superior,plentiful,qualified,cry,famous,clever,blame,sweet,accurate,35.0,Female,Democrat,Master's degree,7.0,5.0,True
140,4,2,4,4,2.0,3,4,2,4,4.0,sorrow,inferior,scarce,unqualified,laugh,unknown,stupid,praise,bitter,inaccurate,41.0,Female,Democrat,Associate's/professional/vocational degree,5.0,3.0,True
141,1,6,2,6,2.0,2,2,6,6,6.0,sorrow,superior,scarce,unqualified,laugh,unknown,clever,blame,bitter,inaccurate,57.0,Male,Democrat,Some college (no degree),6.0,5.0,True
142,5,3,1,4,1.0,3,6,2,4,4.0,joy,inferior,plentiful,qualified,cry,famous,stupid,praise,sweet,accurate,47.0,Male,Democrat,Master's degree,3.0,1.0,True
143,5,6,1,3,5.0,3,2,1,5,2.0,sorrow,inferior,plentiful,qualified,cry,famous,clever,praise,bitter,accurate,47.0,Female,Democrat,Higher-level graduate degree,3.0,5.0,True
