,1,2,3,4,5,6,7,8,9,10,Condition,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
143,inferior,sorrow,scarce,unqualified,laugh,stupid,rapid,unknown,useless,disloyal,REPUBLICAN,44.0,Male,Democrat,High school,4,7,False
144,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,38.0,Female,Republican,Some college (no degree),5,4,True
145,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,42.0,Female,Republican,Associate's/professional/vocational degree,1,1,True
146,superior,joy,scarce,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,22.0,Male,Democrat,Bachelor's degree,7,7,False
147,superior,joy,plentiful,unqualified,cry,clever,rapid,unknown,useful,disloyal,REPUBLICAN,61.0,Female,Democrat,Associate's/professional/vocational degree,6,3,True
148,inferior,sorrow,scarce,unqualified,laugh,stupid,slow,unknown,useless,disloyal,REPUBLICAN,50.0,Female,Democrat,Bachelor's degree,7,6,True
149,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,55.0,Female,Democrat,Associate's/professional/vocational degree,6,6,False
150,inferior,joy,plentiful,qualified,laugh,clever,slow,unknown,useful,loyal,DEMOCRAT,61.0,Female,Democrat,Bachelor's degree,6,7,True
151,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,77.0,Female,Republican,High school,4,6,True
152,superior,joy,plentiful,qualified,laugh,clever,slow,famous,useful,loyal,DEMOCRAT,22.0,Female,Democrat,Bachelor's degree,7,5,False
153,superior,joy,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,REPUBLICAN,48.0,Male,Republican,Master's degree,6,6,False
154,inferior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,51.0,Male,Democrat,Bachelor's degree,5,4,True
155,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,37.0,Male,Democrat,Bachelor's degree,7,7,False
156,superior,joy,plentiful,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,38.0,Female,Democrat,Some college (no degree),7,5,False
157,superior,joy,plentiful,qualified,laugh,clever,slow,unknown,useful,loyal,REPUBLICAN,42.0,Male,Republican,Master's degree,5,5,True
158,inferior,sorrow,scarce,unqualified,laugh,stupid,rapid,famous,useless,loyal,REPUBLICAN,64.0,Female,Democrat,Master's degree,6,5,True
159,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,33.0,Male,Republican,Bachelor's degree,4,4,True
160,superior,joy,scarce,qualified,cry,clever,slow,famous,useless,loyal,DEMOCRAT,37.0,Male,Democrat,Associate's/professional/vocational degree,3,5,True
161,inferior,sorrow,scarce,unqualified,cry,clever,rapid,unknown,useless,loyal,REPUBLICAN,76.0,Female,Republican,Bachelor's degree,3,5,True
162,superior,joy,plentiful,unqualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,37.0,Male,Democrat,Master's degree,2,1,True
163,inferior,sorrow,scarce,unqualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,32.0,Male,Democrat,Some college (no degree),4,5,False
164,inferior,joy,plentiful,qualified,cry,clever,slow,unknown,useful,loyal,DEMOCRAT,35.0,Male,Democrat,Bachelor's degree,5,4,True
165,superior,sorrow,scarce,unqualified,cry,clever,slow,unknown,useful,disloyal,REPUBLICAN,22.0,Female,Democrat,Associate's/professional/vocational degree,5,6,True
166,inferior,sorrow,scarce,qualified,cry,stupid,rapid,unknown,useless,disloyal,DEMOCRAT,29.0,Male,Democrat,High school,3,5,True
167,superior,joy,scarce,qualified,cry,stupid,rapid,famous,useful,loyal,REPUBLICAN,34.0,Male,Republican,Bachelor's degree,6,5,False
168,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,42.0,Female,Democrat,High school,7,5,True
169,inferior,joy,scarce,unqualified,laugh,clever,rapid,famous,useless,loyal,REPUBLICAN,35.0,Male,Republican,Bachelor's degree,4,3,True
170,superior,joy,scarce,qualified,cry,clever,slow,famous,useless,disloyal,DEMOCRAT,50.0,Male,Republican,Master's degree,4,2,True
171,superior,joy,plentiful,qualified,cry,clever,rapid,unknown,useless,loyal,DEMOCRAT,33.0,Female,Republican,Some college (no degree),2,6,False
172,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,55.0,Female,Democrat,High school,4,3,False
173,superior,joy,scarce,qualified,laugh,clever,slow,unknown,useful,loyal,REPUBLICAN,73.0,Male,Republican,Master's degree,5,4,True
174,superior,joy,plentiful,qualified,laugh,stupid,rapid,famous,useless,disloyal,REPUBLICAN,48.0,Female,Democrat,Some college (no degree),4,2,True
175,superior,joy,scarce,qualified,cry,stupid,rapid,famous,useful,loyal,REPUBLICAN,32.0,Female,Republican,Bachelor's degree,3,3,True
176,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,35.0,Male,Democrat,Bachelor's degree,6,6,False
177,superior,joy,plentiful,qualified,laugh,stupid,rapid,famous,useless,disloyal,REPUBLICAN,28.0,Female,Democrat,High school,6,5,True
178,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,46.0,Male,Republican,High school,5,5,False
179,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,27.0,Male,Democrat,Some college (no degree),6,3,True
180,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,32.0,Female,Democrat,Bachelor's degree,4,2,True
181,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,disloyal,DEMOCRAT,37.0,Male,Democrat,Bachelor's degree,6,7,True
182,inferior,sorrow,scarce,qualified,cry,clever,slow,famous,useless,disloyal,REPUBLICAN,26.0,Female,Democrat,Some college (no degree),4,1,False
183,inferior,joy,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,37.0,Female,Democrat,Bachelor's degree,6,5,True
184,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,REPUBLICAN,66.0,Male,Democrat,Bachelor's degree,5,6,True
185,superior,joy,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,39.0,Male,Democrat,Bachelor's degree,3,3,True
186,inferior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,43.0,Male,Democrat,Bachelor's degree,7,7,False
187,superior,joy,scarce,qualified,laugh,clever,rapid,famous,useless,loyal,REPUBLICAN,46.0,Female,Democrat,Some college (no degree),4,2,True
188,superior,sorrow,plentiful,qualified,laugh,stupid,rapid,famous,useful,loyal,DEMOCRAT,26.0,Female,Democrat,Bachelor's degree,5,4,True
189,superior,sorrow,plentiful,qualified,cry,clever,rapid,famous,useful,loyal,DEMOCRAT,70.0,Female,Republican,High school,6,6,True
190,inferior,sorrow,scarce,unqualified,cry,clever,slow,unknown,useless,disloyal,DEMOCRAT,35.0,Female,Republican,Higher-level graduate degree,7,7,True
191,inferior,sorrow,plentiful,unqualified,laugh,clever,slow,unknown,useless,disloyal,REPUBLICAN,35.0,Male,Republican,Bachelor's degree,4,5,True
192,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,37.0,Female,Republican,Some college (no degree),7,4,True
193,superior,joy,scarce,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,53.0,Male,Republican,Higher-level graduate degree,2,6,True
194,inferior,sorrow,scarce,unqualified,cry,clever,rapid,famous,useful,disloyal,DEMOCRAT,42.0,Female,Republican,Bachelor's degree,6,4,True
195,superior,joy,scarce,unqualified,cry,clever,slow,famous,useful,loyal,REPUBLICAN,37.0,Female,Republican,Master's degree,5,4,True
196,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,44.0,Female,Republican,Some college (no degree),5,3,False
197,inferior,sorrow,scarce,qualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,23.0,Male,Republican,Some college (no degree),2,4,False
198,inferior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,29.0,Female,Republican,Some college (no degree),5,4,False
199,superior,sorrow,plentiful,unqualified,cry,clever,rapid,unknown,useless,loyal,DEMOCRAT,46.0,Female,Republican,Bachelor's degree,2,3,True
200,superior,sorrow,scarce,unqualified,cry,clever,rapid,famous,useless,loyal,DEMOCRAT,39.0,Female,Republican,Bachelor's degree,3,4,False
201,superior,joy,plentiful,qualified,laugh,clever,slow,famous,useful,loyal,REPUBLICAN,53.0,Female,Republican,Associate's/professional/vocational degree,7,5,True
202,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,39.0,Male,Republican,High school,6,6,False
203,superior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,22.0,Female,Republican,Associate's/professional/vocational degree,6,5,True
204,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,24.0,Female,Republican,Bachelor's degree,5,4,True
205,inferior,sorrow,scarce,qualified,cry,stupid,rapid,famous,useful,loyal,DEMOCRAT,37.0,Female,Republican,Bachelor's degree,4,2,True
206,superior,sorrow,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,50.0,Male,Republican,Bachelor's degree,5,5,True
207,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,DEMOCRAT,49.0,Male,Republican,High school,6,5,True
208,superior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,loyal,REPUBLICAN,51.0,Female,Republican,Bachelor's degree,2,3,True
209,inferior,joy,scarce,unqualified,cry,clever,rapid,unknown,useless,disloyal,DEMOCRAT,37.0,Male,Republican,Bachelor's degree,7,5,False
210,superior,joy,scarce,qualified,laugh,clever,slow,unknown,useful,loyal,REPUBLICAN,32.0,Female,Republican,Bachelor's degree,4,3,False
211,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,DEMOCRAT,33.0,Male,Republican,Bachelor's degree,7,5,False
212,superior,sorrow,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,48.0,Female,Republican,Master's degree,5,4,True
213,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,50.0,Male,Republican,Master's degree,6,6,True
214,superior,sorrow,scarce,unqualified,laugh,clever,slow,famous,useless,loyal,REPUBLICAN,69.0,Female,Republican,Bachelor's degree,1,5,False
215,superior,joy,scarce,unqualified,cry,stupid,rapid,unknown,useful,loyal,DEMOCRAT,30.0,Female,Republican,Master's degree,6,4,False
216,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,DEMOCRAT,33.0,Male,Republican,Bachelor's degree,6,7,False
217,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,63.0,Female,Republican,Bachelor's degree,7,4,True
218,superior,joy,scarce,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,46.0,Female,Republican,Bachelor's degree,1,2,True
219,inferior,sorrow,scarce,unqualified,cry,clever,slow,unknown,useless,disloyal,DEMOCRAT,32.0,Female,Republican,Bachelor's degree,5,4,True
220,superior,joy,scarce,-99,laugh,clever,slow,famous,useful,loyal,REPUBLICAN,30.0,Female,Republican,Bachelor's degree,6,4,True
221,superior,sorrow,scarce,qualified,laugh,clever,rapid,unknown,useless,disloyal,DEMOCRAT,26.0,Female,Republican,High school,1,1,True
