ID,DO-BR-FL_11,DO-BR-FL_31,DO-BR-FL_51,DO-BR-FL_64
ID,Display Order: Block Randomizer FL_11,Display Order: Block Randomizer FL_31,Display Order: Block Randomizer FL_51,Display Order: Block Randomizer FL_64
139,FL_16|FL_19|FL_14|FL_21,,,
174,FL_14|FL_21|FL_16|FL_19,FL_38|FL_41|FL_35,FL_55|FL_61,FL_74
172,FL_14|FL_16|FL_21|FL_19,FL_38|FL_41|FL_35,FL_55|FL_61,FL_74
175,FL_16|FL_14|FL_19|FL_21,FL_38|FL_41|FL_32,FL_61|FL_52,FL_65
173,FL_16|FL_21|FL_14|FL_19,FL_41|FL_32|FL_38,FL_58|FL_52,FL_65
133,FL_19|FL_16|FL_14|FL_21,FL_38|FL_32|FL_35,FL_55|FL_52,FL_65
178,FL_21|FL_16|FL_14|FL_19,FL_41|FL_35|FL_32,FL_52|FL_55,FL_68
181,FL_14|FL_19|FL_21|FL_16,FL_38|FL_35|FL_41,FL_61|FL_55,FL_68
180,FL_21|FL_14|FL_16|FL_19,FL_32|FL_35|FL_41,FL_55|FL_61,FL_74
184,FL_14|FL_19|FL_16|FL_21,FL_41|FL_35|FL_38,FL_55|FL_58,FL_71
182,FL_14|FL_16|FL_19|FL_21,FL_35|FL_41|FL_38,FL_61|FL_58,FL_71
151,FL_16|FL_21|FL_14|FL_19,FL_41|FL_32|FL_38,FL_52|FL_58,FL_71
150,FL_19|FL_14|FL_16|FL_21,FL_32|FL_38|FL_35,FL_58|FL_55,FL_68
185,FL_16|FL_14|FL_19|FL_21,FL_38|FL_32|FL_41,FL_61|FL_52,FL_65
183,FL_14|FL_19|FL_16|FL_21,FL_41|FL_38|FL_35,FL_55|FL_58,FL_71
186,FL_14|FL_19|FL_21|FL_16,FL_38|FL_41|FL_35,FL_55|FL_61,FL_74
162,FL_21|FL_16|FL_19|FL_14,FL_32|FL_41|FL_35,FL_61|FL_55,FL_68
158,FL_21|FL_14|FL_16|FL_19,FL_32|FL_41|FL_35,,
189,FL_16|FL_19|FL_14|FL_21,FL_32|FL_38|FL_41,FL_61|FL_58,FL_71
188,FL_16|FL_19|FL_21|FL_14,FL_41|FL_32|FL_38,FL_58|FL_52,FL_65
187,FL_19|FL_21|FL_16|FL_14,FL_35|FL_32|FL_38,FL_52|FL_58,FL_71
192,FL_14|FL_19|FL_21|FL_16,FL_35|FL_38|FL_41,FL_58|FL_61,FL_74
191,FL_14|FL_21|FL_16|FL_19,FL_41|FL_35|FL_38,FL_55|FL_58,FL_71
190,FL_16|FL_21|FL_19|FL_14,FL_41|FL_38|FL_32,FL_52|FL_58,FL_71
198,FL_16|FL_21|FL_19|FL_14,FL_32|FL_41|FL_38,FL_58|FL_61,FL_74
195,FL_19|FL_21|FL_14|FL_16,FL_32|FL_38|FL_35,FL_55|FL_58,FL_71
193,FL_16|FL_14|FL_21|FL_19,FL_32|FL_41|FL_38,FL_61|FL_58,FL_71
165,FL_19|FL_16|FL_21|FL_14,FL_35|FL_38|FL_32,FL_58|FL_52,FL_65
166,FL_21|FL_16|FL_14|FL_19,FL_41|FL_32|FL_35,FL_55|FL_52,
199,FL_21|FL_19|FL_16|FL_14,FL_32|FL_41|FL_35,FL_61|FL_55,FL_68
3,FL_19|FL_21|FL_14|FL_16,FL_32|FL_38|FL_35,FL_55|FL_58,FL_71
204,FL_21|FL_16|FL_14|FL_19,FL_35|FL_41|FL_32,FL_52|FL_61,FL_74
202,FL_14|FL_16|FL_19|FL_21,FL_38|FL_41|FL_35,FL_61|FL_55,FL_68
207,FL_21|FL_14|FL_19|FL_16,FL_32|FL_41|FL_35,FL_55|FL_61,FL_74
