index,word1,word2,PKL_D(word1),PKL_R(word1),PKL_D(word2),PKL_R(word2),DIFF_SQ,LOGP_D(word1),LOGP_R(word1),LOGP_D(word2),LOGP_R(word2),P_D(word1),P_R(word1),P_D(word2),P_R(word2),google_valence_word1,google_valence_word2,pattern_valence_word1,pattern_valence_word2,crr_valence_word1,crr_valence_word2
1,colleague,friend,0.366569402582715,-0.5285201019568901,-4.582399700110336,6.210930375442807,9.634752544542428e-07,0.048837547226660984,-0.048837547226661046,-0.4169713593773391,0.4169713593773392,0.000844583155997765,0.0008164711605485247,0.0010046534197837625,0.0013413346801605368,0.0,0.10000000149011612,0.0,0.0,5.26,6.79
2,particularly,especially,2.3166174622057256,-1.8428573563372077,-0.8842551779259746,0.8708228391064713,1.6933005435331029e-07,0.5059787326846432,-0.5059787326846432,-0.17158643383398817,0.17158643383398817,0.00043986905070985614,0.00030974808516273417,0.0004374197307419336,0.0004926642311104688,0.10000000149011612,0.0,0.16666666666666666,0.0,,
3,acknowledge,recognize,1.0018945603104523,-0.7950827377651916,-2.594509714757443,3.80059398594622,3.6219788441672814e-07,0.6581229186561414,-0.6581229186561415,-0.5596460759008248,0.5596460759008248,0.00015243414859188596,9.659786550463012e-05,0.0004182574039340689,0.0006164727629544314,0.10000000149011612,0.10000000149011612,0.0,0.0,6.43,6.14
4,measure,legislation,0.6248318238547554,-0.7379487190210811,-2.5360439201236504,2.627393464702919,2.35597842912903e-07,0.15793440230108152,-0.15793440230108163,-0.07417600926571233,0.07417600926571231,0.0004132146863530519,0.00037036740295202475,0.003082397140807947,0.003245023131333944,0.0,0.0,0.0,0.0,5.14,3.55
5,months,years,0.49255802204061166,-0.6405481043720045,-8.017150350152553,9.591955768005915,2.5647036286772043e-06,0.08781478891394487,-0.08781478891394492,-0.21998730987161644,0.2199873098716165,0.0006031090226896358,0.000567493563543633,0.0033560005889894133,0.0039088122196451035,0.0,0.10000000149011612,0.0,0.0,5.78,5.75
6,essentially,basically,0.5603377412306305,-0.5787834445631793,-1.13488842305737,1.7724638580280543,7.993212600699416e-08,0.4184480998190671,-0.4184480998190673,-0.7436634784066923,0.7436634784066923,0.00014162832520399232,0.00010597042835484463,0.00013226327826781786,0.0002214645899284556,0.0,0.0,0.0,0.0,,
7,indicated,stated,1.349940828663358,-0.8722689892009564,-0.8354791489882952,0.9634966698575261,6.792159016255718e-08,0.9135976141301686,-0.9135976141301686,-0.39568205857061123,0.3956820585706113,0.0001452302663332902,7.709688796144188e-05,0.0001782240470776587,0.00023446524162391442,0.0,0.0,0.0,0.0,5.05,5.73
8,extraordinary,incredible,0.8008607857663925,-0.7282242534745434,-0.6587367057346696,0.7604906554155759,3.598508049392483e-08,0.5022664044724371,-0.5022664044724372,-0.4663324489594723,0.46633244895947246,0.00016251958375391998,0.00011473830973085174,0.00011598250436339148,0.00016024059066495764,0.30000001192092896,0.6000000238418579,0.3333333333333333,0.9,7.45,7.59
9,mother,father,0.533898783888501,-0.6272121297501381,-1.3085998319155856,1.8153855166695492,9.122225930015982e-08,0.22363701006899375,-0.22363701006899378,-0.5573548907290891,0.5573548907290891,0.00025400888843808597,0.0002175341603461076,0.00020545472201515062,0.00030234073710369363,0.10000000149011612,0.10000000149011612,0.0,0.0,7.53,6.88
10,sensible,commonsense,1.0016101420326962,-0.5171923169679634,-1.9246912160451282,2.9729770708869885,2.158124321974802e-07,1.367604121887168,-1.367604121887168,-0.6598693228959691,0.6598693228959691,7.333552139250468e-05,2.8420029287747204e-05,0.0002603483048256502,0.00041133457282957524,0.10000000149011612,0.0,0.0,0.0,6.74,
11,billion,trillion,7.571791278074346,-5.959306171543047,-2.0085089989985976,2.6933071236562776,1.704101388043625e-06,0.4442615316757619,-0.44426153167576193,-0.45725452617249274,0.4572545261724926,0.0016008467155051464,0.0011765589784390239,0.00039275566073863997,0.0005392247046244376,0.0,0.10000000149011612,0.0,0.0,6.8,5.85
