,index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Condition,party,age,gender,party_identity,political_leanings,political_engagement,C-Span,education,voted,political_bubble
61,114,colleague,particularly,acknowledge,legislation,months,basically,stated,extraordinary,father,commonsense,trillion,aliens,view,want,additionally,aca,evening,people,week,pleased,minutes,companies,changes,able,values,rural,problems,adopted,good,counties,man,undermine,provides,illegal,cuts,taxes,workers,parks,congress,support,lives,talking,colleagues,seniors,capacity,deny,brought,deliver,sponsored,protect,country,democracy,ensure,protecting,prices,program,taxpayers,children,policies,produce,institute,debt,murder,left,tough,statement,something,sex,farmers,investors,promises,wars,require,questions,programs,borders,bridge,allies,businesses,agreement,believe,shutdown,police,americans,delta,region,taking,enable,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,Republican,28,0,2,1.0,0,False,1.0,1.0,80.0
62,115,friend,especially,recognize,measure,months,basically,stated,incredible,mother,commonsense,billion,immigrants,opinion,wanted,additionally,obamacare,morning,people,year,happy,seconds,companies,changes,willing,principles,underserved,problems,adopted,bad,cities,woman,destroy,eliminates,undocumented,cuts,taxes,workers,parks,body,oppose,lives,concerned,friends,patients,capability,deny,bringing,deliver,supported,defend,globe,democracy,ensures,protecting,prices,project,consumers,children,policies,create,foundation,debt,rape,left,difficult,comments,nothing,sexual,homeowners,inventors,promises,wars,include,question,programs,ports,fence,partners,corporations,agreement,hope,takeover,police,americans,delta,area,takes,encourage,inferior,joy,scarce,unqualified,cry,stupid,slow,unknown,useless,loyal,DEMOCRAT,Republican,40,1,-3,1.0,-2,False,3.0,1.0,50.0
63,116,friend,especially,recognize,legislation,years,basically,stated,extraordinary,father,sensible,billion,aliens,opinion,want,additionally,obamacare,morning,folks,year,happy,minutes,companies,reforms,willing,values,rural,problems,passed,bad,cities,man,destroy,eliminates,illegal,cuts,taxes,workers,parks,congress,oppose,life,talking,friends,seniors,capability,give,brought,provide,supported,defend,country,freedom,ensures,defending,prices,program,taxpayers,children,policy,create,foundation,deficit,rape,left,tough,comments,something,sex,farmers,investors,promises,wars,require,question,programs,borders,fence,partners,corporations,agreement,believe,shutdown,police,americans,lake,area,takes,enable,superior,sorrow,scarce,unqualified,cry,stupid,slow,famous,useless,disloyal,REPUBLICAN,Democrat,35,1,3,-2.0,1,False,0.0,1.0,90.0
64,126,friend,particularly,recognize,legislation,years,essentially,indicated,extraordinary,mother,sensible,billion,immigrants,view,want,moreover,aca,morning,people,year,pleased,minutes,companies,reforms,willing,principles,underserved,problem,adopted,good,counties,woman,undermine,provides,undocumented,cuts,taxes,workers,forests,congress,support,lives,concerned,friends,seniors,capability,give,bringing,deliver,sponsored,protect,globe,democracy,ensure,protecting,prices,program,taxpayers,children,policies,create,institute,deficit,murder,leaving,difficult,statement,something,sexual,homeowners,inventors,promises,war,include,questions,programs,ports,bridge,allies,corporations,agreement,hope,takeover,police,americans,lake,region,taking,enable,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,Democrat,51,1,3,-2.0,2,False,5.0,1.0,9950.0
65,130,colleague,particularly,acknowledge,legislation,years,essentially,indicated,extraordinary,father,sensible,billion,aliens,opinion,wanted,additionally,aca,evening,people,year,pleased,minutes,companies,reforms,able,principles,rural,problems,adopted,bad,cities,man,undermine,eliminates,undocumented,cuts,taxes,employees,forests,congress,oppose,life,talking,colleagues,patients,capacity,deny,brought,provide,supported,defend,country,freedom,ensures,protecting,rates,program,consumers,children,policies,produce,foundation,debt,rape,leaving,difficult,statement,something,sexual,homeowners,investors,commitments,wars,require,questions,programs,ports,bridge,allies,corporations,agreement,believe,takeover,police,americans,delta,region,taking,enable,inferior,sorrow,plentiful,qualified,cry,clever,rapid,unknown,useful,loyal,REPUBLICAN,Democrat,57,1,1,-1.0,1,False,1.0,1.0,60.0
66,138,colleague,especially,recognize,legislation,years,essentially,indicated,incredible,father,sensible,trillion,aliens,view,want,moreover,obamacare,morning,folks,year,pleased,minutes,manufacturers,reforms,able,values,rural,problem,passed,bad,counties,man,destroy,eliminates,illegal,cuts,taxes,workers,forests,congress,oppose,life,talking,colleagues,seniors,capacity,deny,brought,deliver,supported,defend,globe,freedom,ensure,protecting,prices,program,taxpayers,children,policy,produce,institute,deficit,murder,left,tough,statement,nothing,sexual,homeowners,investors,commitments,wars,require,question,programs,ports,bridge,allies,corporations,agreement,believe,takeover,police,americans,lake,region,takes,encourage,superior,sorrow,scarce,qualified,cry,stupid,slow,famous,useless,loyal,REPUBLICAN,Independent,36,0,3,0.0,3,True,0.0,0.0,
67,139,colleague,particularly,recognize,legislation,years,basically,indicated,incredible,mother,sensible,trillion,aliens,opinion,wanted,moreover,obamacare,evening,people,year,pleased,minutes,manufacturers,changes,willing,principles,underserved,problems,passed,bad,cities,woman,undermine,provides,undocumented,increases,taxes,workers,parks,congress,oppose,lives,talking,colleagues,patients,capacity,deny,brought,provide,sponsored,protect,globe,democracy,ensure,defending,prices,program,taxpayers,children,policies,create,foundation,debt,rape,left,difficult,statement,nothing,sex,homeowners,inventors,promises,wars,require,questions,programs,ports,bridge,allies,businesses,agreement,hope,shutdown,fire,hoosiers,lake,region,taking,enable,inferior,sorrow,plentiful,unqualified,cry,stupid,slow,famous,useless,disloyal,DEMOCRAT,Republican,42,1,3,2.0,3,False,3.0,1.0,95.0
68,141,colleague,particularly,recognize,legislation,years,basically,stated,extraordinary,mother,commonsense,trillion,aliens,opinion,wanted,additionally,obamacare,evening,folks,week,pleased,minutes,manufacturers,reforms,willing,values,rural,problems,passed,bad,counties,man,undermine,eliminates,illegal,cuts,taxes,employees,forests,congress,oppose,lives,talking,colleagues,patients,capacity,deny,brought,provide,sponsored,defend,globe,freedom,ensure,defending,prices,program,taxpayers,children,policies,produce,foundation,deficit,rape,left,tough,statement,nothing,sexual,farmers,investors,commitments,wars,require,question,programs,borders,fence,partners,corporations,agreement,believe,shutdown,police,hoosiers,lake,area,taking,enable,superior,sorrow,scarce,qualified,laugh,stupid,slow,famous,useless,loyal,REPUBLICAN,Democrat,26,1,-1,-2.0,2,False,3.0,1.0,70.0
69,142,colleague,particularly,acknowledge,legislation,years,essentially,stated,incredible,father,commonsense,trillion,immigrants,opinion,want,additionally,obamacare,morning,people,year,pleased,minutes,companies,reforms,able,values,underserved,problems,passed,good,cities,man,destroy,provides,illegal,cuts,taxes,workers,parks,congress,support,lives,talking,friends,seniors,capability,deny,brought,deliver,sponsored,defend,country,freedom,ensures,defending,rates,project,taxpayers,children,policy,create,foundation,deficit,murder,leaving,difficult,statement,nothing,sexual,farmers,inventors,commitments,war,include,question,programs,borders,fence,allies,businesses,agreement,hope,shutdown,police,americans,delta,region,takes,enable,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,Republican,51,0,1,1.0,0,False,0.0,1.0,80.0
70,145,colleague,especially,acknowledge,legislation,years,basically,indicated,extraordinary,mother,commonsense,billion,immigrants,opinion,wanted,moreover,aca,evening,folks,year,happy,minutes,companies,reforms,willing,principles,underserved,problems,adopted,good,cities,man,destroy,provides,undocumented,increases,taxes,employees,forests,congress,support,lives,talking,friends,seniors,capacity,give,bringing,provide,sponsored,protect,globe,democracy,ensures,protecting,prices,program,consumers,children,policies,produce,institute,debt,rape,left,difficult,statement,something,sex,homeowners,inventors,commitments,wars,include,question,activities,borders,bridge,partners,businesses,agreement,hope,takeover,police,hoosiers,delta,region,takes,encourage,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useless,loyal,DEMOCRAT,Other party (please specify),50,0,3,,1,True,,1.0,0.0
