word,class
madam,
consume,
century,
consent,procedural
underlying,procedural
vote,
chair,procedural
special,
previous,procedural
legislative,procedural
21st,procedural
floor,
support,
recorded,
extraneous,procedural
member,
house,
bipartisan,
affordable,procedural
ranking,procedural
may,
material,procedural
members,
care,
include,
question,
h,
bill,
days,
r,procedural
unanimous,procedural
act,
order,
