ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed,ident
17,paychecks,girls,achievements,relationship,song,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crimes,failure,death,proposals,sites,regions,instruction,particle,predecessors,affiliations,referrals,pillars,towns,minute,yard,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
18,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,DEMOCRAT,1,True,REPUBLICAN
19,paychecks,girl,achievement,relationship,song,friendships,victories,miracles,winner,bonus,homicide,deficiency,killer,funerals,nightmare,rapist,difficulty,crime,failures,death,proposal,sites,-99,instructions,particle,predecessors,affiliation,referrals,pillars,town,minute,yard,kilometer,teaspoon,liter,megabyte,hertz,hundred,big,wide,DEMOCRAT,2,True,REPUBLICAN
20,paychecks,girl,achievements,relationships,song,friendship,victory,miracle,winners,bonus,homicides,deficiencies,killers,funerals,nightmares,rapist,difficulties,crimes,failures,deaths,proposal,sites,region,instruction,particles,predecessor,affiliations,referrals,pillar,town,second,mile,kilometer,teaspoon,cup,megabyte,hertz,hundred,small,narrow,REPUBLICAN,2,True,DEMOCRAT
21,paycheck,girls,achievements,relationship,songs,friendship,victory,miracles,winners,bonus,homicide,deficiency,killer,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,site,region,instruction,particle,predecessor,affiliations,referral,pillar,towns,second,yard,centimeter,teaspoon,cup,gigabyte,gigahertz,hundred,small,wide,DEMOCRAT,3,False,DEMOCRAT
22,paycheck,girl,achievement,relationships,songs,friendship,victory,miracle,winners,bonus,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instruction,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,small,narrow,DEMOCRAT,3,True,REPUBLICAN
23,paycheck,girls,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicide,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,regions,instruction,particle,predecessors,affiliation,referral,pillar,town,second,mile,centimeter,teaspoon,cup,gigabyte,hertz,hundred,small,narrow,REPUBLICAN,3,True,DEMOCRAT
24,paycheck,girl,achievements,relationships,song,friendships,victories,miracles,winner,bonuses,homicides,deficiency,killers,funeral,nightmares,rapist,difficulty,crime,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,town,minute,yard,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,small,narrow,DEMOCRAT,1,True,DEMOCRAT
25,paychecks,girls,achievement,relationships,song,friendship,victory,miracle,winner,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,region,instruction,particle,predecessors,affiliations,referrals,pillars,towns,second,mile,kilometer,teaspoon,liter,gigabyte,gigahertz,thousand,small,narrow,DEMOCRAT,2,True,REPUBLICAN
26,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,megabyte,hertz,thousand,big,wide,DEMOCRAT,3,False,DEMOCRAT
