ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed,ident
67,paychecks,girls,achievements,relationships,songs,friendships,victories,miracle,winner,bonus,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failure,deaths,proposal,sites,region,instructions,particles,predecessors,affiliations,referrals,pillar,town,minute,mile,kilometer,teaspoon,liter,megabyte,gigahertz,thousand,big,narrow,DEMOCRAT,1,True,DEMOCRAT
68,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,-99,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
69,paychecks,girls,achievements,relationships,song,friendship,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,site,regions,instructions,particles,predecessors,affiliations,referral,pillars,town,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,2,True,REPUBLICAN
70,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,wide,REPUBLICAN,2,True,DEMOCRAT
71,paychecks,girls,achievement,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failures,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
72,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particle,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,2,True,REPUBLICAN
73,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,site,regions,instructions,particle,predecessor,affiliation,referrals,pillar,towns,minute,mile,centimeter,teaspoon,cup,gigabyte,hertz,thousand,big,wide,REPUBLICAN,2,True,REPUBLICAN
74,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapist,difficulties,crimes,failures,deaths,proposals,sites,regions,instruction,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
75,paychecks,girls,achievements,relationships,songs,friendships,victory,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,deaths,proposals,site,regions,instructions,particle,predecessors,affiliations,referral,pillar,towns,second,mile,kilometer,teaspoon,liter,gigabyte,gigahertz,hundred,big,wide,DEMOCRAT,3,True,REPUBLICAN
76,paycheck,girls,achievements,relationships,song,friendships,victory,miracle,winner,bonuses,homicides,deficiencies,killer,funeral,nightmare,rapists,difficulties,crime,failure,deaths,proposal,site,regions,instructions,particles,predecessors,affiliation,referral,pillar,towns,second,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
77,paychecks,girls,achievements,relationships,songs,friendships,victories,miracle,winner,bonuses,homicides,deficiencies,killers,funeral,nightmare,rapists,difficulty,crimes,failures,deaths,proposals,site,region,instructions,particles,predecessors,affiliations,referral,pillar,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,3,True,REPUBLICAN
78,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiency,killers,funerals,nightmare,rapists,difficulty,crimes,failure,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,second,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
79,paycheck,girl,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,REPUBLICAN,2,True,REPUBLICAN
80,paychecks,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonuses,homicide,deficiency,killer,funerals,nightmares,rapist,difficulties,crimes,failures,deaths,proposal,site,regions,instructions,particle,predecessor,affiliation,referral,pillars,town,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,small,wide,REPUBLICAN,2,False,DEMOCRAT
81,paychecks,girls,achievements,relationship,song,friendship,victories,miracles,winners,bonus,homicides,deficiencies,killers,funeral,nightmare,rapists,difficulties,crimes,failure,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,town,second,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,narrow,REPUBLICAN,1,True,DEMOCRAT
82,paycheck,girls,achievement,relationship,songs,friendships,victory,miracle,winner,bonus,homicides,deficiency,killers,funerals,nightmare,rapist,difficulties,crime,failures,deaths,proposal,site,regions,instruction,particle,predecessors,affiliation,referral,pillars,towns,second,yard,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,REPUBLICAN,1,True,DEMOCRAT
83,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulty,crime,failures,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
84,paycheck,girl,achievement,relationship,songs,friendship,-99,miracle,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crimes,failure,death,proposals,site,region,instruction,particle,predecessor,affiliation,-99,pillar,town,minute,mile,kilometer,teaspoon,cup,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
85,paychecks,girl,achievements,relationships,songs,friendship,victory,miracle,winner,bonuses,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crime,failures,deaths,proposal,sites,region,instructions,particle,predecessor,affiliation,referrals,pillar,towns,minute,mile,kilometer,tablespoon,cup,-99,hertz,thousand,big,wide,REPUBLICAN,1,False,DEMOCRAT
86,paycheck,girl,achievements,relationships,songs,friendship,victory,miracles,winner,bonus,homicides,deficiencies,killer,funerals,nightmare,rapists,difficulty,crimes,failure,deaths,proposal,sites,region,instruction,particle,predecessor,affiliation,referral,pillars,town,second,mile,kilometer,teaspoon,liter,gigabyte,hertz,hundred,small,wide,REPUBLICAN,3,True,DEMOCRAT
87,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,yard,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,1,False,DEMOCRAT
88,paychecks,girls,achievements,relationship,songs,friendship,victory,miracles,winner,bonus,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,region,instructions,particle,predecessors,affiliation,-99,pillars,towns,second,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,3,True,DEMOCRAT
89,paycheck,girls,-99,relationships,songs,friendship,victories,miracles,winner,bonuses,homicide,deficiencies,killers,funeral,nightmares,rapists,difficulties,crime,failures,deaths,proposals,-99,regions,instruction,particles,predecessors,affiliations,referrals,pillar,town,second,yard,centimeter,tablespoon,cup,megabyte,hertz,thousand,small,narrow,REPUBLICAN,2,True,DEMOCRAT
90,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiency,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,gigabyte,hertz,hundred,small,narrow,DEMOCRAT,2,True,REPUBLICAN
91,paychecks,girl,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funerals,nightmare,rapist,difficulty,crime,failure,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,hertz,thousand,big,wide,REPUBLICAN,3,True,DEMOCRAT
92,paycheck,girl,achievement,relationship,songs,friendship,victory,miracles,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
93,paycheck,girl,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiency,killer,funerals,nightmare,rapists,difficulties,crime,failure,deaths,proposal,sites,region,instructions,particles,predecessor,affiliations,referrals,pillar,towns,minute,mile,kilometer,teaspoon,cup,gigabyte,hertz,hundred,small,narrow,DEMOCRAT,3,True,DEMOCRAT
94,paycheck,girls,achievement,relationships,songs,friendships,victory,miracle,winner,bonus,homicide,deficiency,killers,funerals,nightmares,rapist,difficulties,crime,failure,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,towns,minute,mile,centimeter,teaspoon,cup,megabyte,gigahertz,thousand,big,narrow,REPUBLICAN,2,True,DEMOCRAT
95,paychecks,girls,achievement,relationships,songs,friendships,victories,miracles,winners,bonus,homicides,deficiency,killers,funerals,nightmare,rapist,difficulties,crime,failures,deaths,proposal,sites,regions,instructions,particles,predecessors,affiliations,referral,pillars,towns,minute,mile,centimeter,teaspoon,cup,gigabyte,gigahertz,hundred,small,wide,DEMOCRAT,1,True,DEMOCRAT
96,paycheck,girl,achievement,relationship,song,friendship,victories,miracle,winner,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,gigabyte,hertz,hundred,small,narrow,DEMOCRAT,2,True,DEMOCRAT
97,paychecks,girl,achievements,relationships,song,friendships,victories,miracle,winners,bonus,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failure,deaths,proposals,sites,regions,instruction,particles,predecessors,affiliations,referral,pillars,towns,second,mile,centimeter,teaspoon,cup,gigabyte,hertz,hundred,big,wide,REPUBLICAN,1,False,DEMOCRAT
98,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,REPUBLICAN
99,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,second,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,small,wide,DEMOCRAT,3,True,DEMOCRAT
100,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,minute,yard,kilometer,teaspoon,cup,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,1,True,DEMOCRAT
101,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winner,-99,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,-99,sites,region,instruction,-99,predecessors,affiliations,referral,-99,towns,minute,mile,centimeter,tablespoon,cup,megabyte,hertz,thousand,small,narrow,DEMOCRAT,2,True,DEMOCRAT
102,paycheck,girl,achievements,relationships,songs,friendships,victory,miracles,winners,bonuses,homicides,deficiency,killer,funerals,nightmare,rapist,difficulties,crimes,failures,death,proposals,site,regions,instructions,particles,predecessor,affiliations,referrals,pillar,towns,second,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,big,narrow,DEMOCRAT,3,True,DEMOCRAT
103,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,3,True,REPUBLICAN
104,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,REPUBLICAN,2,True,DEMOCRAT
105,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,second,yard,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,REPUBLICAN,3,True,REPUBLICAN
106,paychecks,girls,achievements,relationship,songs,friendship,victories,miracle,winners,bonus,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,region,instructions,particles,predecessors,affiliation,referrals,pillar,town,second,mile,kilometer,tablespoon,cup,megabyte,gigahertz,hundred,big,wide,REPUBLICAN,3,True,DEMOCRAT
107,paycheck,girl,achievements,relationship,song,friendship,victories,miracles,winner,bonuses,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulty,crime,failure,deaths,proposal,site,region,instructions,particle,predecessor,affiliation,referral,pillar,town,minute,mile,centimeter,teaspoon,cup,megabyte,hertz,thousand,small,narrow,REPUBLICAN,1,True,DEMOCRAT
108,paychecks,girl,achievements,relationship,song,friendships,victory,miracles,winner,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,deaths,proposals,sites,regions,instruction,particles,predecessor,affiliation,referrals,pillars,towns,minute,yard,centimeter,tablespoon,cup,gigabyte,hertz,thousand,big,wide,REPUBLICAN,1,True,REPUBLICAN
109,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiencies,killer,funeral,-99,rapist,difficulty,crime,failure,death,proposal,site,regions,instructions,particle,predecessors,affiliations,referrals,pillar,towns,minute,yard,kilometer,tablespoon,liter,gigabyte,hertz,thousand,big,wide,DEMOCRAT,3,False,DEMOCRAT
110,paycheck,girls,achievement,relationship,song,friendship,victories,miracles,winners,bonus,homicides,deficiencies,killer,funerals,nightmares,rapist,difficulties,crime,failure,death,proposal,site,region,instructions,particle,predecessors,affiliation,referrals,pillar,town,minute,mile,centimeter,tablespoon,cup,gigabyte,gigahertz,thousand,small,wide,REPUBLICAN,2,True,DEMOCRAT
111,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonus,homicide,deficiency,killer,funerals,nightmares,rapists,difficulty,crime,failure,deaths,proposal,site,regions,instructions,particle,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
112,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
113,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
114,paycheck,girls,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposal,site,region,instructions,particles,predecessors,affiliation,referrals,pillars,towns,second,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,hundred,big,wide,DEMOCRAT,3,True,DEMOCRAT
115,paychecks,girls,achievement,relationship,song,friendship,victory,miracle,winners,bonuses,homicide,deficiencies,killer,funeral,nightmare,rapist,difficulty,crime,failures,death,proposals,site,regions,instructions,particles,predecessor,affiliations,referrals,pillar,towns,second,mile,kilometer,tablespoon,cup,gigabyte,hertz,thousand,big,narrow,DEMOCRAT,3,True,DEMOCRAT
116,paychecks,girls,achievements,relationships,songs,friendship,victories,miracles,winners,bonuses,homicide,deficiency,-99,funeral,nightmare,rapists,difficulty,crime,failures,deaths,proposal,site,regions,instructions,particles,predecessors,affiliation,referral,pillars,towns,second,yard,centimeter,teaspoon,liter,gigabyte,gigahertz,thousand,big,narrow,REPUBLICAN,1,False,DEMOCRAT
117,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapists,difficulties,crime,failure,deaths,proposals,site,regions,instructions,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,hertz,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
118,paycheck,girl,achievements,relationship,song,friendships,victory,miracle,winner,bonuses,homicide,deficiencies,killer,funeral,nightmares,rapists,difficulty,crime,failures,death,proposal,sites,region,instructions,particles,predecessors,affiliations,referral,pillar,towns,second,mile,kilometer,teaspoon,liter,gigabyte,hertz,thousand,big,wide,REPUBLICAN,2,True,DEMOCRAT
119,paycheck,girls,achievement,relationship,song,friendship,victory,miracle,winners,bonuses,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failures,death,proposal,site,regions,instruction,particle,predecessor,affiliation,referral,pillar,towns,second,yard,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,REPUBLICAN,1,True,DEMOCRAT
120,paychecks,girls,achievement,relationships,songs,friendships,victory,miracle,winner,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposals,sites,regions,instruction,particle,predecessors,affiliation,referral,pillars,towns,second,yard,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
121,paychecks,girl,achievement,relationships,song,friendship,victory,miracle,winner,bonuses,homicides,deficiencies,killers,funeral,nightmare,rapists,difficulties,crimes,failures,deaths,proposal,site,region,instructions,particles,predecessor,affiliations,referral,pillar,town,second,mile,centimeter,tablespoon,liter,gigabyte,hertz,hundred,small,narrow,REPUBLICAN,3,True,DEMOCRAT
122,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,yard,kilometer,teaspoon,liter,megabyte,gigahertz,hundred,big,wide,DEMOCRAT,3,True,DEMOCRAT
123,paychecks,girls,achievements,relationships,songs,friendships,victories,miracle,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,teaspoon,cup,gigabyte,gigahertz,thousand,big,narrow,DEMOCRAT,1,True,REPUBLICAN
124,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonus,homicide,deficiency,killer,funerals,nightmare,rapist,difficulties,crimes,failure,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillar,town,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
125,paychecks,girls,achievements,relationships,songs,friendship,victories,miracles,winners,bonuses,homicide,deficiencies,killers,funeral,nightmare,rapist,difficulties,crime,failure,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliations,referral,pillars,town,minute,mile,kilometer,tablespoon,liter,gigabyte,hertz,hundred,small,wide,DEMOCRAT,3,True,DEMOCRAT
126,paycheck,girl,achievements,relationship,song,friendship,victories,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmare,rapists,difficulties,crimes,failure,deaths,proposals,site,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,centimeter,teaspoon,cup,gigabyte,hertz,thousand,big,wide,REPUBLICAN,3,True,DEMOCRAT
127,paychecks,girls,achievements,relationship,songs,friendships,victories,miracle,winners,bonuses,homicides,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,death,proposals,sites,regions,instructions,particles,predecessors,affiliation,referral,pillar,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
128,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,REPUBLICAN
129,paychecks,girls,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funerals,nightmare,rapist,difficulties,crime,failure,death,proposals,site,regions,instruction,particle,predecessors,affiliation,referrals,pillars,towns,minute,yard,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
130,paychecks,girl,achievements,relationships,song,friendships,victories,miracles,winner,bonuses,homicide,deficiencies,killer,funerals,nightmares,rapists,difficulty,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,towns,second,mile,kilometer,tablespoon,liter,megabyte,gigahertz,hundred,small,narrow,DEMOCRAT,1,True,REPUBLICAN
131,paycheck,girls,achievement,relationships,song,friendship,victory,miracle,winner,bonus,homicides,deficiency,killer,funeral,nightmare,rapists,difficulty,crimes,failure,death,proposals,site,regions,instruction,particles,predecessor,affiliation,referrals,pillars,town,minute,mile,kilometer,teaspoon,liter,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,1,True,DEMOCRAT
132,paycheck,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funerals,nightmares,rapist,difficulties,crimes,failure,death,proposals,site,region,instructions,particles,predecessor,affiliations,referrals,pillars,towns,second,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,REPUBLICAN
133,paychecks,girl,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
134,paycheck,girls,achievements,relationship,songs,friendships,victory,miracle,winners,bonuses,homicides,deficiencies,killer,funerals,nightmares,rapists,difficulty,crimes,failures,deaths,proposals,sites,regions,instructions,particle,predecessors,affiliations,referrals,pillars,towns,minute,mile,centimeter,teaspoon,cup,megabyte,gigahertz,thousand,big,wide,REPUBLICAN,1,True,DEMOCRAT
135,paychecks,girls,achievement,relationships,songs,friendships,victories,miracle,winner,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,region,instructions,particles,predecessors,affiliations,referral,pillars,towns,second,yard,centimeter,teaspoon,liter,megabyte,hertz,thousand,small,narrow,REPUBLICAN,2,True,DEMOCRAT
136,paychecks,girls,achievement,relationships,song,friendship,victory,miracle,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulty,crimes,failures,deaths,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,REPUBLICAN
137,paychecks,girl,achievement,relationship,song,friendship,victory,miracle,winner,bonuses,homicide,deficiencies,killer,funerals,nightmare,rapists,difficulty,crime,failures,death,proposal,site,region,instruction,particle,predecessors,affiliation,referral,pillar,town,second,yard,centimeter,teaspoon,cup,gigabyte,hertz,hundred,small,narrow,DEMOCRAT,1,False,REPUBLICAN
138,paychecks,girls,achievements,relationships,song,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposal,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,centimeter,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,REPUBLICAN
139,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,-99,towns,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,-99,REPUBLICAN,2,True,REPUBLICAN
140,paychecks,girl,achievements,relationship,song,friendships,victories,miracle,winner,bonus,homicide,deficiency,killers,funeral,nightmares,rapists,difficulties,crimes,failure,death,proposals,sites,regions,instructions,particle,predecessor,affiliation,referrals,pillars,towns,second,yard,centimeter,tablespoon,liter,megabyte,hertz,thousand,big,wide,DEMOCRAT,3,True,REPUBLICAN
141,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmare,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,town,minute,mile,kilometer,tablespoon,cup,megabyte,gigahertz,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
142,paychecks,girls,achievements,relationship,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliations,referral,pillar,towns,minute,mile,centimeter,tablespoon,cup,gigabyte,hertz,thousand,big,narrow,REPUBLICAN,1,True,DEMOCRAT
143,paychecks,girls,achievements,relationships,songs,friendships,victories,miracle,winner,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapist,difficulties,crimes,failures,deaths,proposals,sites,regions,instruction,particles,predecessors,affiliations,referrals,pillars,towns,second,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,hundred,small,wide,DEMOCRAT,2,True,REPUBLICAN
144,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,gigahertz,thousand,big,narrow,REPUBLICAN,2,True,REPUBLICAN
