,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,age,gender,party,party_identity,political_engagement,education,voted,political_bubble,atn,pair0,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25
20,2.0,3.0,4,3,4,1,2,3,2,3,2,3,3.0,2.0,2.0,3,2,3,3,3,2,2,2,3,4.0,3,66,Female,Republican,2.0,0,4,1.0,76.0,ATTENTION,comprehensive,prosperity,workers,contribute,values,attack,recognize,terror,respond,gain,possibly,glad,financial,types,end,criminal,spoke,changes,mother,responsibility,barriers,indicated,excessive,discussion,preserve,basic
21,0.0,0.0,0,2,0,5,0,2,1,2,5,0,1.0,4.0,0.0,4,1,1,2,1,5,2,5,0,2.0,2,34,Male,Democrat,3.0,3,5,1.0,100.0,ATTENTION,complete,prosperity,workers,give,principles,attack,recognize,fear,respond,profit,possibly,happy,financial,types,finish,criminal,spoke,reforms,mother,responsibility,walls,indicated,excessive,conversation,preserve,fundamental
22,4.0,4.0,3,0,5,4,1,4,1,5,1,3,4.0,2.0,4.0,1,4,0,4,4,2,2,5,1,4.0,4,45,Male,Democrat,2.0,1,5,1.0,50.0,ATTENTION,comprehensive,prosperity,employees,give,values,assault,recognize,fear,respond,profit,possibly,happy,financial,kinds,end,criminal,spoke,changes,mother,duty,walls,indicated,excessive,conversation,maintain,fundamental
23,1.0,4.0,4,3,3,1,2,1,2,4,3,4,4.0,3.0,3.0,4,1,1,4,4,1,3,1,4,4.0,1,54,Male,Independent,1.0,2,0,0.0,71.0,ATTENTION,comprehensive,wealth,workers,contribute,principles,assault,recognize,fear,answer,profit,potentially,glad,financial,types,finish,illegal,spoke,reforms,mother,responsibility,barriers,indicated,excessive,conversation,preserve,basic
24,4.0,1.0,1,1,4,1,3,2,3,3,3,4,2.0,2.0,2.0,4,4,1,3,4,1,1,3,3,4.0,2,64,Female,Democrat,0.0,0,2,1.0,59.0,ATTENTION,complete,wealth,workers,give,principles,attack,acknowledge,fear,respond,profit,potentially,happy,financial,kinds,end,illegal,talked,changes,mother,responsibility,barriers,announced,excessive,conversation,maintain,basic
25,4.0,0.0,4,0,0,0,1,1,2,5,4,1,5.0,3.0,4.0,5,4,4,0,1,1,1,5,1,4.0,0,56,Female,Democrat,3.0,3,2,1.0,95.0,ATTENTION,complete,prosperity,employees,give,principles,assault,acknowledge,fear,answer,profit,potentially,glad,monetary,kinds,end,illegal,talked,reforms,mom,responsibility,walls,announced,outrageous,conversation,maintain,fundamental
26,3.0,5.0,4,4,4,4,4,0,5,3,1,4,2.0,1.0,0.0,3,1,0,4,4,5,1,0,4,3.0,2,34,Male,Republican,1.0,0,3,1.0,68.0,ATTENTION,comprehensive,prosperity,workers,contribute,values,attack,acknowledge,terror,answer,profit,potentially,happy,monetary,kinds,end,criminal,spoke,changes,mother,responsibility,walls,indicated,outrageous,discussion,preserve,basic
27,4.0,5.0,4,1,1,4,2,5,1,5,1,0,4.0,4.0,4.0,4,2,4,2,1,5,3,1,2,1.0,1,34,Female,Democrat,-2.0,-3,4,1.0,75.0,ATTENTION,comprehensive,wealth,workers,give,principles,assault,acknowledge,terror,answer,profit,potentially,happy,monetary,kinds,end,criminal,talked,changes,mom,responsibility,walls,announced,outrageous,conversation,preserve,fundamental
28,1.0,4.0,1,1,4,4,4,4,1,4,2,1,4.0,4.0,4.0,4,1,1,1,1,4,2,4,1,3.0,1,42,Female,Democrat,1.0,-1,3,1.0,95.0,ATTENTION,comprehensive,wealth,employees,contribute,values,attack,acknowledge,terror,answer,gain,possibly,glad,monetary,types,end,criminal,talked,changes,mom,duty,walls,indicated,outrageous,discussion,maintain,basic
29,1.0,3.0,2,1,5,0,3,0,2,5,2,2,3.0,4.0,2.0,5,2,2,5,5,5,4,5,3,1.0,3,35,Male,Independent,2.0,1,1,1.0,20.0,ATTENTION,complete,prosperity,employees,contribute,values,attack,recognize,fear,respond,gain,potentially,glad,financial,kinds,finish,illegal,spoke,reforms,mom,duty,barriers,announced,excessive,discussion,maintain,basic
