index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,age,gender,party,party_identity,political_leanings,political_engagement,C-Span,education,voted,political_bubble
10,3,1,2,2,2,1.0,3,1,4,1,1,1,3,2,1,2,4,1,2,2.0,3,2,2,1.0,4,4,2,1,0,2,1.0,4,1,1,1,1,4,4,1,2.0,4,1.0,3,3,3,4,3,2,3,3.0,5,4,5,3,3,1,4,2.0,5,3.0,4,2,0.0,3,3,3,4,4,3,4,3,2,4,3,2,3,4.0,0.0,1,2,2,3.0,1.0,2,2,1,4,1,4,2,1,4.0,3.0,3,1.0,3,1,1,41,M,Republican,-1.0,1.0,1,False,3,1.0,70.0
11,4,2,1,0,3,2.0,1,1,3,5,1,1,3,2,1,2,4,0,4,2.0,3,1,2,2.0,4,4,2,1,0,2,0.0,4,2,0,4,1,4,4,1,4.0,5,4.0,3,5,2,1,4,0,3,2.0,5,1,5,3,2,2,3,2.0,2,3.0,1,2,2.0,2,2,2,4,4,2,1,2,3,1,3,2,2,5.0,1.0,3,2,2,1.0,1.0,2,2,2,4,1,3,1,2,1.0,2.0,3,1.0,3,2,4,34,M,Democrat,1.0,-1.0,3,False,4,1.0,85.0
12,4,3,1,1,2,3.0,3,2,2,3,2,1,1,2,2,4,3,2,2,2.0,3,2,1,3.0,3,2,2,2,1,1,3.0,2,5,2,2,2,3,3,2,3.0,1,1.0,1,4,3,4,4,2,5,2.0,1,2,2,3,2,4,2,5.0,2,2.0,2,4,2.0,5,2,3,4,2,4,2,1,2,2,1,3,3,3.0,3.0,2,3,2,2.0,4.0,4,2,4,4,3,3,2,2,1.0,3.0,4,5.0,2,4,2,30,F,Independent,0.0,0.0,-1,False,3,1.0,25.0
13,4,1,0,0,3,2.0,5,2,5,0,5,0,2,4,5,1,5,0,0,1.0,1,0,2,2.0,2,5,4,0,0,3,0.0,5,1,1,3,1,5,2,1,3.0,5,5.0,5,5,2,0,5,1,4,4.0,1,5,5,4,1,1,5,4.0,4,0.0,3,0,5.0,5,4,3,4,5,2,1,4,4,1,5,2,1,0.0,5.0,5,2,1,4.0,5.0,2,2,2,2,4,5,0,0,1.0,5.0,5,5.0,1,1,5,35,M,Independent,0.0,-1.0,-3,True,3,1.0,90.0
14,3,2,2,2,2,2.0,2,2,3,2,3,2,3,2,3,2,3,2,2,3.0,2,3,3,2.0,2,3,2,2,2,2,2.0,3,2,2,3,2,3,3,2,3.0,3,3.0,3,3,3,3,3,2,3,3.0,3,3,3,3,3,3,3,3.0,3,3.0,3,3,2.0,3,3,2,2,3,3,2,2,3,3,3,3,3,3.0,3.0,3,2,3,3.0,3.0,3,2,2,2,2,3,2,2,3.0,3.0,2,3.0,2,2,2,36,,Independent,,,-2,False,4,0.0,
15,4,4,5,1,1,4.0,4,1,4,4,4,1,4,4,1,1,4,4,4,1.0,4,4,1,1.0,4,4,1,1,1,1,5.0,4,4,1,4,1,1,1,1,5.0,0,5.0,4,0,1,5,5,4,4,4.0,4,4,4,4,4,4,5,1.0,4,1.0,4,4,4.0,4,2,4,4,5,3,1,1,1,4,4,4,1,1.0,1.0,1,4,1,4.0,1.0,4,1,1,1,4,4,1,1,1.0,4.0,1,1.0,4,4,1,50,M,Independent,1.0,0.0,0,False,1,1.0,40.0
16,2,2,1,1,1,3.0,5,2,3,2,2,1,4,2,1,2,3,1,2,1.0,5,1,1,2.0,2,4,0,1,1,1,1.0,3,3,1,1,1,2,2,3,3.0,4,3.0,3,4,3,4,4,1,3,1.0,4,5,4,4,2,3,4,3.0,2,2.0,4,2,2.0,2,3,3,2,4,2,1,1,3,3,4,3,2,4.0,5.0,3,3,3,2.0,3.0,2,3,4,3,1,3,2,3,2.0,3.0,2,5.0,3,2,1,46,M,Democrat,1.0,-2.0,1,True,3,1.0,30.0
17,4,0,2,1,2,3.0,5,1,3,5,0,0,3,0,4,3,4,1,1,1.0,5,0,3,3.0,4,3,3,0,0,2,2.0,4,3,0,4,1,2,2,1,3.0,4,1.0,2,4,3,4,5,1,2,4.0,4,1,3,2,2,2,4,3.0,1,3.0,4,4,1.0,3,2,1,4,4,3,2,1,1,4,4,2,2,4.0,5.0,3,2,2,3.0,1.0,3,2,4,4,2,4,2,2,4.0,1.0,1,4.0,3,0,1,41,M,Democrat,0.0,-1.0,1,False,3,1.0,80.0
18,2,4,5,1,4,1.0,4,4,5,4,4,4,4,4,1,1,4,1,4,4.0,4,4,1,1.0,1,4,4,1,0,4,5.0,5,4,0,4,4,4,1,4,4.0,0,4.0,5,0,2,1,5,0,4,4.0,1,2,5,4,4,3,4,2.0,4,3.0,4,2,4.0,4,4,4,4,4,3,2,1,1,2,4,4,0,3.0,4.0,2,4,4,4.0,1.0,4,4,0,0,4,4,1,1,1.0,5.0,1,1.0,4,3,0,48,F,Republican,2.0,1.0,2,True,1,1.0,70.0
19,4,2,5,1,1,3.0,4,0,5,0,5,1,4,4,3,2,2,3,3,4.0,2,1,3,2.0,3,1,0,2,2,2,5.0,2,2,1,4,1,4,0,4,5.0,0,1.0,2,0,1,1,5,1,3,2.0,2,4,1,2,3,2,2,2.0,0,3.0,5,2,2.0,4,5,5,1,2,4,5,3,2,1,4,4,2,1.0,1.0,1,4,1,4.0,4.0,1,4,1,2,4,4,1,4,2.0,3.0,4,2.0,1,5,3,57,F,Republican,-2.0,1.0,-3,False,4,0.0,50.0
20,3,2,2,1,1,3.0,4,2,2,3,2,1,3,2,2,1,3,1,4,2.0,4,1,4,1.0,3,4,2,1,1,3,2.0,3,3,1,1,1,3,4,2,3.0,5,3.0,3,1,2,4,4,1,3,2.0,3,3,3,3,3,2,3,3.0,3,3.0,3,3,1.0,1,2,2,3,4,2,1,3,2,4,2,2,2,2.0,4.0,3,2,4,3.0,3.0,3,3,3,3,2,3,1,2,4.0,2.0,3,4.0,1,2,2,47,F,Independent,-3.0,-1.0,-2,False,3,1.0,50.0
21,5,0,5,0,0,5.0,3,4,2,1,0,0,2,1,1,4,5,0,4,1.0,5,0,1,2.0,5,0,0,2,0,1,5.0,5,3,0,1,0,5,4,1,5.0,5,3.0,2,5,5,0,5,1,2,1.0,5,2,5,3,2,2,5,1.0,3,2.0,5,0,1.0,3,2,0,1,4,4,5,1,0,4,1,4,4,0.0,5.0,4,0,0,0.0,2.0,2,2,4,4,0,1,5,1,4.0,1.0,3,5.0,4,1,0,51,F,Democrat,-3.0,-2.0,2,False,3,1.0,30.0
22,2,2,3,2,2,2.0,4,2,4,3,2,2,3,2,3,2,4,1,4,2.0,4,2,3,2.0,2,4,2,2,1,1,2.0,3,3,2,4,1,2,4,3,3.0,3,2.0,3,4,2,2,4,3,2,2.0,4,3,3,2,3,3,4,2.0,3,2.0,3,2,2.0,4,2,2,3,4,2,1,2,3,2,4,3,3,3.0,3.0,3,2,2,3.0,2.0,2,2,3,2,2,4,2,3,4.0,2.0,2,3.0,2,2,2,36,M,Independent,3.0,0.0,2,True,0,0.0,20.0
23,3,1,4,1,1,4.0,4,1,4,4,1,1,4,1,3,1,4,1,3,2.0,4,1,1,2.0,4,4,1,2,1,1,4.0,4,4,1,2,1,3,4,4,3.0,4,4.0,4,1,2,4,5,1,2,1.0,4,3,1,1,3,2,5,1.0,4,3.0,4,3,2.0,2,2,2,4,4,3,4,3,1,3,1,3,2,4.0,3.0,2,2,3,3.0,2.0,3,3,2,2,3,3,2,3,3.0,2.0,3,2.0,1,2,2,28,M,Independent,1.0,-1.0,1,False,3,1.0,25.0
24,4,0,1,0,1,4.0,5,0,1,5,1,0,3,0,4,1,1,0,0,1.0,4,0,0,1.0,4,4,0,0,0,0,5.0,0,4,0,2,1,0,5,0,4.0,4,3.0,0,5,1,4,5,0,4,3.0,0,4,0,5,1,2,5,4.0,4,4.0,4,4,1.0,1,2,0,5,5,1,1,4,1,4,1,2,4,1.0,4.0,5,1,4,0.0,3.0,5,2,5,5,0,5,0,1,5.0,4.0,4,5.0,1,1,1,63,F,Democrat,3.0,-2.0,3,False,0,1.0,100.0
25,4,0,0,1,4,1.0,4,1,4,0,4,4,2,1,0,3,4,1,2,1.0,4,0,1,1.0,3,3,1,2,0,2,0.0,3,1,0,1,0,4,2,3,1.0,5,2.0,3,4,2,1,5,2,3,1.0,5,3,5,3,3,1,4,2.0,2,3.0,3,3,2.0,1,4,4,1,4,2,4,2,1,1,3,2,2,5.0,1.0,2,3,2,1.0,0.0,1,2,1,4,2,3,1,1,0.0,3.0,3,0.0,4,3,0,31,M,Independent,-2.0,-1.0,-1,False,0,1.0,60.0
26,3,1,4,2,3,4.0,3,2,4,4,1,1,4,1,2,1,5,2,4,1.0,3,2,2,1.0,4,3,1,0,1,1,4.0,5,3,1,3,2,1,1,4,4.0,0,3.0,4,0,2,3,4,2,2,2.0,3,3,1,3,3,3,4,2.0,4,2.0,3,2,1.0,1,3,3,4,3,2,1,3,4,3,2,3,2,3.0,3.0,3,2,1,3.0,1.0,2,4,2,2,3,4,2,3,2.0,1.0,3,2.0,4,2,3,57,F,Independent,1.0,-1.0,-2,False,0,0.0,10.0
27,4,0,5,0,5,5.0,1,1,5,0,0,0,5,1,0,1,5,0,1,5.0,1,2,4,3.0,4,0,1,5,0,5,5.0,5,0,5,0,1,5,5,0,5.0,0,5.0,5,5,4,5,5,1,4,5.0,5,1,0,1,4,0,5,4.0,4,4.0,4,2,4.0,5,3,3,4,5,2,4,1,4,5,4,5,1,5.0,0.0,1,1,1,5.0,0.0,0,1,0,3,4,1,0,1,0.0,1.0,1,1.0,1,2,4,42,F,Republican,2.0,1.0,1,False,3,1.0,90.0
28,2,0,5,0,1,1.0,2,3,1,5,0,0,2,0,5,0,3,2,0,1.0,2,0,2,2.0,5,0,1,1,2,0,5.0,2,4,1,0,2,0,5,3,5.0,0,3.0,4,0,5,0,3,1,3,1.0,0,2,0,3,5,0,2,3.0,4,5.0,5,3,5.0,2,1,1,3,5,1,2,5,0,1,2,1,2,5.0,5.0,5,0,0,0.0,2.0,3,0,5,5,2,5,2,1,5.0,0.0,3,5.0,3,0,2,36,F,Democrat,0.0,0.0,0,False,3,1.0,95.0
29,2,1,4,1,1,1.0,5,2,4,5,4,1,4,2,3,1,4,4,1,0.0,4,1,1,2.0,4,4,1,1,1,1,4.0,4,2,2,1,1,2,4,1,4.0,4,2.0,1,5,3,1,5,1,3,1.0,1,4,3,3,2,4,1,2.0,1,2.0,4,3,1.0,3,2,1,3,1,3,2,2,2,1,1,1,3,3.0,3.0,4,2,3,1.0,4.0,3,3,4,4,2,3,3,2,4.0,3.0,3,4.0,4,2,3,25,M,Democrat,0.0,0.0,1,False,4,1.0,50.0
30,2,0,1,0,1,4.0,4,0,3,5,0,0,5,1,0,1,5,0,4,1.0,1,0,5,0.0,5,0,1,1,0,4,4.0,4,5,0,0,1,0,2,5,4.0,0,3.0,3,0,1,5,5,5,1,0.0,3,5,4,1,3,1,4,1.0,5,1.0,5,1,3.0,1,3,1,4,5,3,0,2,1,4,4,2,3,1.0,5.0,4,0,2,3.0,1.0,1,1,1,2,2,5,1,1,3.0,1.0,3,4.0,1,1,4,53,F,Independent,-3.0,-2.0,0,False,1,1.0,0.0
31,5,5,5,5,5,0.0,0,5,5,5,5,5,5,5,0,5,5,5,5,5.0,0,5,0,5.0,0,5,5,5,5,5,5.0,5,0,5,5,5,5,0,5,5.0,0,5.0,5,0,0,0,5,5,0,5.0,5,0,5,0,5,0,5,0.0,5,0.0,0,5,5.0,5,5,5,0,5,5,5,5,5,5,5,5,0,0.0,0.0,0,5,5,5.0,0.0,0,5,0,0,5,0,0,0,0.0,5.0,0,0.0,5,5,0,52,F,Republican,0.0,1.0,-1,False,2,1.0,90.0
32,3,1,0,1,1,2.0,2,1,2,2,3,0,2,2,3,2,4,0,1,2.0,4,1,4,0.0,3,1,2,0,0,0,0.0,4,2,2,3,0,2,3,0,2.0,5,4.0,3,3,3,5,5,1,2,1.0,4,4,3,4,1,2,3,2.0,2,1.0,5,2,0.0,3,2,2,1,3,2,0,2,1,2,3,3,1,5.0,5.0,4,2,3,1.0,2.0,3,4,4,5,2,3,1,2,0.0,3.0,0,4.0,2,2,2,56,F,Democrat,3.0,-1.0,1,False,3,1.0,80.0
33,2,1,2,1,3,2.0,3,1,2,3,1,3,4,1,2,1,4,1,3,1.0,3,2,3,3.0,4,3,2,2,1,3,4.0,3,4,1,1,2,2,4,4,4.0,4,4.0,2,1,2,3,4,3,2,1.0,4,3,3,1,4,2,3,3.0,2,2.0,3,3,3.0,4,2,2,3,3,3,2,3,3,4,2,4,2,3.0,2.0,3,2,2,4.0,1.0,1,3,1,4,3,4,3,2,1.0,2.0,2,4.0,4,2,3,41,F,Independent,0.0,1.0,-2,False,4,1.0,20.0
34,4,1,0,1,5,4.0,2,3,5,1,5,5,1,4,1,4,5,4,4,4.0,4,5,4,4.0,1,4,1,4,1,4,1.0,5,1,3,4,4,4,1,4,4.0,0,1.0,4,0,1,5,4,1,4,1.0,4,3,5,4,1,4,4,3.0,4,4.0,4,1,2.0,4,1,5,1,1,4,1,1,1,4,4,3,2,0.0,0.0,1,1,1,2.0,2.0,1,1,3,2,3,5,1,4,3.0,2.0,3,4.0,1,1,1,38,F,Republican,-2.0,-1.0,-2,True,3,1.0,50.0
35,1,1,2,4,4,1.0,5,5,5,0,5,4,4,4,1,0,5,5,4,5.0,5,5,3,2.0,4,4,2,2,0,4,0.0,5,1,3,5,4,5,2,4,5.0,0,0.0,5,0,1,0,5,5,1,4.0,5,0,5,5,3,1,5,4.0,1,2.0,2,2,0.0,4,1,5,0,5,2,0,3,5,0,5,1,4,5.0,0.0,0,4,3,4.0,4.0,0,2,0,0,4,0,4,3,0.0,,3,0.0,3,5,1,67,F,Republican,3.0,1.0,2,False,0,1.0,85.0
36,3,1,1,2,2,3.0,2,3,3,3,3,1,3,3,3,2,3,2,1,4.0,3,1,3,1.0,3,3,1,2,1,1,2.0,3,3,2,4,2,2,2,2,2.0,5,4.0,2,3,2,4,4,3,3,3.0,3,3,3,3,2,3,3,3.0,2,3.0,3,3,2.0,4,3,2,2,3,2,3,3,2,3,3,2,3,3.0,4.0,2,2,3,1.0,3.0,2,2,2,3,3,3,2,2,1.0,3.0,2,3.0,3,3,2,25,M,Democrat,1.0,-1.0,0,False,3,1.0,60.0
37,3,1,1,1,1,2.0,4,1,3,3,3,1,4,1,2,1,3,1,1,1.0,4,2,3,2.0,2,1,1,1,1,1,4.0,4,2,1,1,1,1,2,2,3.0,4,2.0,3,2,2,3,4,3,3,3.0,4,3,4,3,2,2,4,2.0,1,2.0,4,2,1.0,3,2,1,3,4,2,2,2,2,4,3,2,2,4.0,3.0,4,2,1,1.0,2.0,4,1,3,3,2,3,3,3,2.0,2.0,2,4.0,2,1,3,22,M,Independent,0.0,-1.0,1,False,1,1.0,67.0
38,2,1,2,1,2,3.0,5,1,3,4,2,1,2,3,4,1,3,1,2,2.0,5,1,1,3.0,3,3,1,1,1,2,3.0,3,3,1,1,1,1,3,4,3.0,5,2.0,3,4,3,4,4,4,4,3.0,2,3,3,3,3,2,4,2.0,2,3.0,3,3,2.0,1,3,2,3,4,3,2,2,1,4,2,2,3,4.0,3.0,3,2,3,2.0,2.0,2,2,4,3,2,4,2,2,2.0,2.0,3,4.0,2,2,4,59,M,Democrat,0.0,0.0,2,False,3,1.0,75.0
39,3,1,5,1,1,2.0,4,2,3,4,2,1,2,1,2,2,3,1,2,2.0,4,1,2,2.0,2,2,2,1,2,2,4.0,3,2,1,1,1,2,4,1,3.0,3,2.0,4,4,2,5,4,4,3,2.0,3,3,4,3,2,2,2,2.0,3,3.0,3,2,1.0,3,2,2,3,2,2,1,2,2,5,3,3,3,1.0,3.0,3,2,3,2.0,2.0,3,2,1,3,2,3,2,3,2.0,2.0,2,3.0,3,2,1,34,F,Democrat,0.0,-1.0,1,False,2,1.0,60.0
40,4,4,4,1,3,3.0,4,0,2,5,1,1,4,0,4,2,2,0,1,0.0,5,1,2,2.0,5,4,2,1,0,2,1.0,2,2,1,0,1,1,5,3,3.0,5,3.0,4,4,2,1,5,0,2,0.0,4,5,0,3,2,4,4,3.0,5,3.0,5,4,1.0,0,0,0,4,4,2,3,3,0,5,3,3,2,1.0,5.0,4,1,1,0.0,2.0,3,2,5,5,2,4,3,4,0.0,2.0,2,5.0,1,2,3,29,F,Democrat,1.0,-1.0,-1,True,3,1.0,40.0
41,1,1,1,3,2,2.0,2,1,4,4,5,0,1,4,1,3,4,3,3,1.0,3,3,1,3.0,3,1,3,2,1,3,1.0,4,3,1,1,1,3,2,2,3.0,2,1.0,3,4,2,1,4,3,2,2.0,4,2,4,2,2,1,3,2.0,1,2.0,1,4,1.0,4,2,4,2,3,3,1,2,3,1,3,2,1,3.0,3.0,1,4,3,4.0,2.0,2,3,2,3,3,2,2,1,1.0,4.0,2,3.0,2,3,1,28,M,Republican,-1.0,0.0,-2,False,3,1.0,80.0
42,4,3,5,1,1,2.0,4,1,5,1,3,0,3,2,1,1,4,4,3,1.0,4,2,1,1.0,2,0,3,2,0,1,5.0,5,2,1,4,2,2,1,1,4.0,0,1.0,3,0,1,1,5,1,2,4.0,4,0,3,1,2,4,4,2.0,4,1.0,3,2,3.0,4,2,3,3,2,1,1,2,2,1,1,1,1,1.0,0.0,2,2,4,4.0,1.0,0,3,1,1,3,3,2,1,1.0,2.0,2,1.0,3,4,1,55,F,Independent,1.0,1.0,0,False,1,1.0,80.0
43,3,2,5,1,1,5.0,5,0,4,5,5,0,3,1,2,1,2,1,5,1.0,5,0,2,2.0,5,2,0,0,1,1,3.0,4,5,1,5,1,5,2,3,3.0,3,3.0,3,3,3,5,5,1,2,3.0,4,2,3,5,2,2,5,2.0,4,4.0,5,2,2.0,5,5,0,5,5,2,1,3,0,2,5,3,5,5.0,5.0,5,0,3,2.0,2.0,4,3,5,5,1,5,1,3,4.0,2.0,5,5.0,5,2,2,56,F,Democrat,-2.0,-1.0,-2,True,4,1.0,95.0
44,5,0,5,0,0,5.0,5,5,5,5,5,0,0,0,0,0,5,0,5,5.0,5,0,5,0.0,5,0,0,0,0,5,5.0,5,5,0,0,0,0,0,5,5.0,0,0.0,5,0,0,0,5,0,0,5.0,5,0,5,5,5,5,5,5.0,0,0.0,5,5,0.0,5,5,5,0,5,5,5,5,5,5,5,5,5,0.0,0.0,0,5,0,0.0,0.0,0,5,0,0,5,5,0,5,0.0,5.0,0,0.0,5,5,0,42,F,Republican,3.0,2.0,3,False,3,1.0,99.0
45,4,0,1,1,1,4.0,4,1,4,0,1,0,5,0,1,0,4,3,1,1.0,5,1,3,1.0,4,4,0,1,4,4,1.0,4,4,0,4,4,4,5,0,4.0,2,4.0,4,0,3,5,2,4,0,1.0,1,3,1,1,3,5,5,1.0,5,4.0,4,1,4.0,0,4,4,4,5,1,3,4,3,4,1,1,2,4.0,5.0,4,1,4,5.0,1.0,2,3,4,4,3,4,1,3,4.0,0.0,2,1.0,1,2,4,39,F,Independent,0.0,0.0,-1,False,2,0.0,35.0
46,4,0,3,1,1,5.0,4,0,3,0,0,1,1,1,4,1,1,1,1,1.0,3,1,4,1.0,4,4,4,1,0,4,4.0,3,1,1,1,1,5,1,3,5.0,0,2.0,4,0,4,1,4,4,4,1.0,4,4,3,1,4,4,4,3.0,4,4.0,4,3,0.0,1,4,1,4,4,1,1,5,1,4,4,4,1,4.0,1.0,4,1,4,1.0,1.0,4,4,4,4,5,4,1,1,3.0,1.0,4,4.0,4,0,1,45,F,Independent,2.0,-1.0,2,False,0,1.0,75.0
47,3,1,1,2,3,3.0,4,2,3,3,3,0,4,2,2,1,3,1,2,2.0,3,2,3,2.0,3,3,1,2,1,2,0.0,3,3,0,2,1,2,4,2,2.0,4,3.0,3,5,3,2,4,2,3,3.0,4,3,4,3,2,3,3,2.0,3,2.0,3,2,2.0,3,2,3,2,4,2,2,2,3,2,3,3,2,5.0,2.0,2,3,3,3.0,0.0,3,3,1,1,2,2,2,3,3.0,3.0,2,2.0,2,2,2,35,M,Independent,1.0,0.0,1,True,1,1.0,20.0
48,0,0,5,0,1,5.0,3,1,0,3,0,1,4,1,5,0,3,0,5,5.0,5,1,4,1.0,5,1,0,2,0,4,5.0,2,5,0,4,0,0,5,5,5.0,0,4.0,4,0,0,5,0,5,1,5.0,5,4,0,0,4,5,5,0.0,5,5.0,0,2,5.0,4,2,3,3,5,0,5,4,0,3,2,1,0,1.0,5.0,3,0,1,4.0,0.0,5,5,3,5,0,3,3,4,4.0,0.0,5,5.0,0,0,1,34,M,Independent,0.0,0.0,3,False,2,1.0,50.0
49,3,2,5,2,2,1.0,4,1,3,0,1,2,2,2,1,2,4,1,1,2.0,4,1,3,1.0,3,3,2,1,0,2,5.0,4,3,0,4,2,2,3,1,2.0,0,4.0,3,1,2,0,4,3,2,4.0,3,1,4,3,3,2,4,1.0,4,2.0,3,2,2.0,1,2,0,4,4,2,0,2,3,1,4,3,1,4.0,1.0,2,2,1,2.0,1.0,2,2,1,2,2,3,2,3,3.0,0.0,2,3.0,2,1,3,25,M,Democrat,2.0,-1.0,2,False,3,1.0,65.0
50,1,0,1,1,0,4.0,1,0,3,1,1,0,1,1,1,1,4,0,0,0.0,1,0,1,0.0,2,5,1,0,0,0,1.0,1,3,0,3,0,2,2,1,2.0,4,4.0,2,5,2,3,5,0,4,2.0,3,4,5,2,1,2,4,4.0,2,1.0,5,2,1.0,4,1,1,1,4,3,1,3,4,2,4,3,2,4.0,4.0,3,2,4,1.0,4.0,3,2,2,4,1,4,3,1,4.0,1.0,2,4.0,4,2,2,52,F,Independent,-1.0,,1,False,2,0.0,22.0
